Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6774909127,2.33319116589,0.0,0.0,1.85583932782,5.577,65.1501515124,59.8362885766,3.0011,2.31276293586
 01/01  02:00:00,9.46122767785,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.47812012658,0.0,0.0,0.0,0.618613109274,5.0,3.59317938011,0.0,3.0011,0.592079380114
 01/01  04:00:00,9.48994241931,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.6403945154,0.0,0.0,0.0,0.618613109274,5.0,3.59318529202,0.0,3.0011,0.592085292018
 01/01  06:00:00,13.8228455857,2.33319116589,0.0,0.0,1.85583932782,5.577,65.9743710101,61.4527210101,4.50165,0.02
 01/01  07:00:00,28.301076435,2.33319116589,0.0,0.0,3.71167865564,18.077,66.2011046966,50.9581520882,13.50495,1.73800260835
 01/01  08:00:00,26.3566954591,2.33319116589,0.0,0.0,3.71167865564,18.077,66.494861593,43.7488291023,21.0077,1.73833249076
 01/01  09:00:00,20.7259012706,2.33319116589,0.0,0.0,3.71167865564,13.077,57.0490575328,40.8779956913,15.0055,1.16556184153
 01/01  10:00:00,20.7377051753,2.33319116589,0.0,0.0,3.71167865564,13.077,50.7834580668,34.03957857,15.0055,1.73837949685
 01/01  11:00:00,25.7420636919,2.33319116589,0.0,0.0,3.71167865564,18.077,61.1737196456,23.5463082018,33.0121,4.61531144379
 01/01  12:00:00,26.9129768178,2.33319116589,0.0,0.0,3.71167865564,18.077,61.6326009828,16.5028989309,40.51485,4.61485205195
