Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,44.61612113,6.15142180278,0.0698408339104,7.82834573295,12.925468867,10.100111941,49.9558223156,49.9358223156,0.0,0.02
 01/01  02:00:00,48.249874954,6.30470503738,0.0378294832615,11.3420579899,12.925468867,10.100111941,63.9769906346,58.2154983667,0.0,5.76149226788
 01/01  03:00:00,44.8903505164,6.36317176438,0.0283782095392,12.5525537329,8.34152022915,10.0650221343,62.43425437,56.6727685246,0.0,5.7614858454
 01/01  04:00:00,45.974819575,6.4119577041,0.0218463339082,13.5947698637,8.34152022915,10.0650221343,61.3109161863,55.5499926842,0.0,5.7609235021
 01/01  05:00:00,48.4854999577,6.45239871335,0.0167745474547,14.463351227,8.34152022915,11.6705166398,54.0189783001,53.9989783001,0.0,0.02
 01/01  06:00:00,53.0008335939,6.46988575886,0.0133263334646,14.8062231805,8.80141237637,15.3678112995,62.042775322,50.5140678494,0.0,11.5287074726
 01/01  07:00:00,71.0746961259,6.38157456026,0.0233073174727,12.9815872538,18.5082010057,25.6353820695,52.4766012887,46.688127593,0.0,5.7884736957
 01/01  08:00:00,78.3453346483,6.23255370832,0.193280159305,9.42791645875,19.4926561212,41.1001056674,58.6756759599,41.2457800544,0.0,17.4298959054
 01/01  09:00:00,97.1231579156,6.22907694026,1.77328443062,4.7553993508,26.3286599382,57.9988325916,66.8400365786,31.2033674015,0.0,35.6366691771
 01/01  10:00:00,81.18084723,6.18598175508,1.48618032907,4.41727252067,26.2443270014,42.8153538416,78.2484755413,24.8061166816,18.025,35.4173588597
 01/01  11:00:00,56.7997335215,6.11829648131,0.832993502985,4.63199136505,21.7447113004,23.4437158914,67.1524871266,19.7159454489,18.025,29.4115416777
 01/01  12:00:00,53.5009221748,6.1089867994,1.04163803848,3.53610999801,19.3449162599,23.4437158914,57.4818133505,15.9864134496,18.025,23.4703999009
 01/01  13:00:00,52.553030755,6.06665754109,1.07103783559,2.45921389739,19.190480192,23.7425572507,55.3269590029,13.8874922067,18.025,23.4144667962
 01/01  14:00:00,51.8716592333,6.053764623,1.16521025737,1.67043978159,19.260583323,23.698576057,52.4831763691,11.0433935817,18.025,23.4147827874
 01/01  15:00:00,51.1886741686,6.01142971128,1.04308042334,1.15191921183,19.260583323,23.698576057,52.3127315589,10.8724415946,18.025,23.4152899643
 01/01  16:00:00,50.6257180085,5.99057193817,0.933661550535,1.0091896227,19.260583323,23.4086260847,54.6978369243,13.2570351994,18.025,23.4158017249
 01/01  17:00:00,58.8197106837,5.95392642749,0.591076168124,1.36307898978,19.260583323,27.8781056672,41.0368656749,17.243724359,18.025,5.7681413159
 01/01  18:00:00,71.1707316071,5.97439258786,0.809130790593,1.08498652005,18.1807569449,37.5792895564,26.8735293783,21.0983553014,0.0,5.77517407696
 01/01  19:00:00,85.1938270813,6.02343470424,1.31779005381,0.656684338864,32.6059821062,37.0465235296,39.8312615362,28.2877594284,0.0,11.5435021078
 01/01  20:00:00,85.8502137737,6.07995345051,1.71386819771,0.629156272469,36.8143715336,33.066984531,37.1321642626,31.3376723239,0.0,5.79449193867
 01/01  21:00:00,91.9947237918,6.19433176367,2.45963017675,0.554023096413,36.43363367,38.8072253906,44.9767453602,33.4049355537,0.0,11.5718098065
 01/01  22:00:00,89.7623229662,6.20691897661,2.48962840838,0.635746833195,36.0963922311,36.7877557581,45.7922455213,34.2202474058,0.0,11.5719981155
 01/01  23:00:00,67.5640787866,6.02699884991,1.16018262709,1.2665196101,30.9507766546,20.6087787026,52.8331748342,35.4018523877,0.0,17.4313224465
 01/01  24:00:00,46.2685864997,5.99323549271,0.352992275838,3.24702489753,17.4250845679,11.7056064465,41.3248149335,35.5357899312,0.0,5.78902500231
 01/02  01:00:00,39.9752176707,6.0217313675,0.133506775915,4.5727758575,11.6412384099,10.0650221343,41.2368083299,35.4685422095,0.0,5.76826612033
 01/02  02:00:00,40.093199584,6.09049395612,0.0557069548728,6.26061282881,10.0992000411,10.047477231,42.7907573988,37.0291755691,0.0,5.76158182969
 01/02  03:00:00,39.2361612268,6.13541361227,0.0398549520734,7.23406503168,8.25718729233,10.0299323277,43.220220982,37.4587735059,0.0,5.76144747615
 01/02  04:00:00,40.2721343767,6.18068404825,0.0326416300925,8.23198350537,8.25718729233,10.0299323277,39.5381012376,39.5181012376,0.0,0.02
 01/02  05:00:00,42.3399153174,6.2008233588,0.0278399772109,8.67769464423,8.25718729233,11.6354268332,45.5766925495,39.808249227,0.0,5.76844332253
 01/02  06:00:00,49.7586859502,6.1920875308,0.0274281686621,8.52557652336,12.1011305571,15.3678112995,50.3076722577,38.749157316,0.0,11.5585149417
