Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.63530405443,19.9434414208,0.0,19.4927976518,0.0,0.659574207558,0.659574207558,0.659574207558,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.43307831999,19.553097626,0.0,19.2119402695,0.0,0.650315239821,0.650315239821,0.650315239821,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.35235927903,19.3518637615,0.0,19.0406376147,0.0,0.644564524144,0.644564524144,0.644564524144,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.33129507059,19.2305311072,0.0,18.9114093484,0.0,0.640201269018,0.640201269018,0.640201269018,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.31188292038,18.8520547778,0.0,18.4474656433,0.0,0.624502750413,0.624502750413,0.624502750413,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.34597989527,18.2318811697,0.0,17.4523340372,0.0,0.590794795994,0.590794795994,0.590794795994,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.66687903044,18.9683098006,0.0,17.4867541591,0.0,0.591911760572,0.591911760572,0.591911760572,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.08651533362,16.9506940664,0.0,15.2647261324,0.0,0.516634766238,0.516634766238,0.516634766238,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.97476948214,15.7513783395,0.0,14.1089848195,0.0,0.47741387164,0.47741387164,0.47741387164,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.58731600787,12.4681384973,0.0,10.9781725526,0.0,0.371306941736,0.371306941736,0.371306941736,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.49732525092,10.1964224687,0.0,8.88750048615,0.0,0.30044738103,0.30044738103,0.30044738103,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.44388179508,7.83350351891,0.0,6.69052021404,0.0,0.226078382632,0.226078382632,0.226078382632,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.3959036155,6.9700901882,0.0,5.95494980198,0.0,0.201161460253,0.201161460253,0.201161460253,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.36358889681,6.80690897195,0.0,5.87071339825,0.0,0.198296977128,0.198296977128,0.198296977128,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.34939782158,6.19667601453,0.0,5.33364402173,0.0,0.180147320743,0.180147320743,0.180147320743,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.46164245192,6.49179948201,0.0,5.61893086409,0.0,0.189769683881,0.189769683881,0.189769683881,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.88331552119,7.92636310606,0.0,6.95199738991,0.0,0.234830674006,0.234830674006,0.234830674006,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.6609810953,10.0294369212,0.0,8.85802269963,0.0,0.299320251631,0.299320251631,0.299320251631,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.23228963172,11.1208945267,0.0,9.7600500302,0.0,0.329914645897,0.329914645897,0.329914645897,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.25038110437,11.9652806364,0.0,10.5647175324,0.0,0.357205792915,0.357205792915,0.357205792915,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,3.0246221981,12.3821572029,0.0,11.0811705386,0.0,0.374720559716,0.374720559716,0.374720559716,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.7803637614,12.8550787135,0.0,11.6914694848,0.0,0.39538928195,0.39538928195,0.39538928195,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.33267079778,13.3792344465,0.0,12.4332751493,0.0,0.420493826696,0.420493826696,0.420493826696,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.87095206543,13.3582023403,0.0,12.6526112253,0.0,0.427924453203,0.427924453203,0.427924453203,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.44122860944,14.4239858791,0.0,13.9901598321,0.0,0.473168059465,0.473168059465,0.473168059465,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.2670398606,14.7891296502,0.0,14.4556296107,0.0,0.488881641832,0.488881641832,0.488881641832,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.1790339265,14.3293908582,0.0,14.0232147052,0.0,0.47428561643,0.47428561643,0.47428561643,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.18693785804,15.0210729087,0.0,14.7073379091,0.0,0.497437027993,0.497437027993,0.497437027993,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.17346661516,14.8542739721,0.0,14.4633767087,0.0,0.489202793391,0.489202793391,0.489202793391,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.22193599711,14.6769648029,0.0,13.9408366314,0.0,0.4715303725,0.4715303725,0.4715303725,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.50949948854,14.5942326887,0.0,13.2146035738,0.0,0.446928649523,0.446928649523,0.446928649523,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.94540848177,13.3948595277,0.0,11.8341758908,0.0,0.400216169818,0.400216169818,0.400216169818,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.83264767591,12.545744949,0.0,11.0352675497,0.0,0.373135582905,0.373135582905,0.373135582905,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.45221281785,9.909896376,0.0,8.54205100016,0.0,0.28873998633,0.28873998633,0.28873998633,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
