Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.514753131355,4.24488066768,0.0,3.94809086175,0.0,0.0773470129067,0.0773470129067,0.0773470129067,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.467485042267,4.69732785978,0.0,4.47319151193,0.0,0.0876342550673,0.0876342550673,0.0876342550673,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.453705333908,4.86352221638,0.0,4.66356585807,0.0,0.091363877187,0.091363877187,0.091363877187,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.450039360713,4.95311357962,0.0,4.74694234764,0.0,0.0929973052515,0.0929973052515,0.0929973052515,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.440032426359,5.0238162593,0.0,4.75322878198,0.0,0.0931204627305,0.0931204627305,0.0931204627305,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.470506700874,5.12415082468,0.0,4.58546835955,0.0,0.0898338697891,0.0898338697891,0.0898338697891,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.572003742039,6.05919812086,0.0,5.00577198355,0.0,0.0980680343432,0.0980680343432,0.0980680343432,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.675630787629,5.43651236785,0.0,4.23264517572,0.0,0.0829217139372,0.0829217139372,0.0829217139372,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.597325618787,4.97137778157,0.0,3.82692879147,0.0,0.074973327867,0.074973327867,0.074973327867,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.470888437364,4.01673973373,0.0,2.99392579082,0.0,0.058653973501,0.058653973501,0.058653973501,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.446997310621,3.15810213467,0.0,2.27240334926,0.0,0.0445186337751,0.0445186337751,0.0445186337751,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
