Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.9543682702,2.19420388343,0.0,0.0,1.85583932782,5.577,4.16646527602,0.0,3.0011,1.16536527602
 01/01  02:00:00,9.87393255869,0.0,0.0,0.0,0.618613109274,5.0,3.59319288328,0.0,3.0011,0.59209288328
 01/01  03:00:00,9.89351975482,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.90180087223,0.0,0.0,0.0,0.618613109274,5.0,3.59314704822,0.0,3.0011,0.592047048222
 01/01  05:00:00,10.0810450354,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,14.0986776221,2.19420388343,0.0,0.0,1.85583932782,5.577,5.24274758022,0.149044590379,4.50165,0.592052989846
 01/01  07:00:00,28.5886503898,2.19420388343,0.0112325911997,0.0,3.71167865564,18.077,14.0974492433,0.0,13.50495,0.592499243289
 01/01  08:00:00,26.64232803,2.19420388343,0.629216216663,0.0,3.71167865564,18.077,22.172658945,0.0,21.0077,1.16495894497
 01/01  09:00:00,22.6849551116,2.19420388343,1.63036876976,0.0,3.71167865564,13.077,16.1704890229,0.0,15.0055,1.16498902287
 01/01  10:00:00,23.8931879149,2.19420388343,2.79655490806,0.0,3.71167865564,13.077,16.1705492752,0.0,15.0055,1.16504927521
 01/01  11:00:00,30.778340697,2.19420388343,4.65504524663,0.0,3.71167865564,18.077,35.8996125607,0.0,33.0121,2.88751256075
 01/01  12:00:00,33.0000327051,2.19420388343,5.77801075075,0.0,3.71167865564,18.077,43.4021382401,0.0,40.51485,2.88728824013
 01/01  13:00:00,33.0772873536,2.19420388343,6.6255241508,0.0,3.71167865564,18.077,38.3259233384,0.0,36.0132,2.31272333844
 01/01  14:00:00,32.7037120569,2.19420388343,6.57538486432,0.0,3.71167865564,18.077,33.8240754967,0.0,31.51155,2.31252549665
 01/01  15:00:00,26.289170549,2.19420388343,5.16612379985,0.0,3.71167865564,13.077,23.3190891788,0.0,21.0077,2.31138917875
 01/01  16:00:00,25.8500937076,2.19420388343,4.73092533096,0.0,3.71167865564,13.077,21.24584749,0.0,19.50715,1.73869749004
 01/01  17:00:00,25.240708497,2.19420388343,4.12866174818,0.0,3.71167865564,13.077,24.2470000834,0.0,22.50825,1.73875008338
 01/01  18:00:00,31.4606199627,2.19420388343,4.09642651259,0.0,3.71167865564,18.077,27.8221916425,0.0,25.50935,2.31284164246
 01/01  19:00:00,32.6469472475,2.19420388343,4.02896855834,0.0,3.71167865564,18.077,28.3965823333,0.0,25.50935,2.88723233328
 01/01  20:00:00,32.2582742789,2.19420388343,3.50964062137,0.0,3.71167865564,18.077,28.3962649625,0.0,25.50935,2.88691496251
 01/01  21:00:00,26.3330354648,2.19420388343,2.59928512402,0.0,3.71167865564,13.077,24.8210621906,0.0,22.50825,2.31281219064
 01/01  22:00:00,26.2122008031,2.19420388343,2.56748091532,0.0,3.71167865564,13.077,24.4681788372,0.0,21.0077,3.46047883716
 01/01  23:00:00,25.5840060574,2.19420388343,2.08095140879,0.0,3.71167865564,13.077,20.3179562158,0.0,18.0066,2.3113562158
 01/01  24:00:00,25.7890448497,2.19420388343,1.1727825878,0.0,3.71167865564,13.077,4.16633324899,0.0,3.0011,1.16523324899
 01/02  01:00:00,14.2004366297,2.19420388343,0.0,0.0,1.85583932782,5.577,4.16621427355,0.0,3.0011,1.16511427355
 01/02  02:00:00,9.88774212089,0.0,0.0,0.0,0.618613109274,5.0,3.59317239985,0.0,3.0011,0.592072399849
 01/02  03:00:00,9.90141121944,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.90661196912,0.0,0.0,0.0,0.618613109274,5.0,3.59317832288,0.0,3.0011,0.592078322875
 01/02  05:00:00,10.0714120791,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,14.1131177361,2.19420388343,0.0154785851233,0.0,1.85583932782,5.577,5.18795072724,0.0942165138608,4.50165,0.592084213375
 01/02  07:00:00,28.6018864199,2.19420388343,0.0131676995522,0.0,3.71167865564,18.077,14.0972675598,0.0,13.50495,0.592317559781
 01/02  08:00:00,27.0629710402,2.19420388343,1.0345235243,0.0,3.71167865564,18.077,24.4702339644,0.0,21.0077,3.46253396443
 01/02  09:00:00,22.3892453168,2.19420388343,1.34582004257,0.0,3.71167865564,13.077,18.4672990298,0.0,15.0055,3.46179902976
 01/02  10:00:00,23.3270386405,2.19420388343,2.24721314298,0.0,3.71167865564,13.077,17.8923541558,0.0,15.0055,2.88685415584
 01/02  11:00:00,30.1604464835,2.19420388343,4.04551893468,0.0,3.71167865564,18.077,35.3249488912,0.0,33.0121,2.31284889119
 01/02  12:00:00,33.0305597374,2.19420388343,5.79682197263,0.0,3.71167865564,18.077,42.8282145739,0.0,40.51485,2.3133645739
 01/02  13:00:00,32.732131063,2.19420388343,6.27441803648,0.0,3.71167865564,18.077,38.8993042504,0.0,36.0132,2.88610425035
 01/02  14:00:00,34.8314593181,2.19420388343,8.68037871629,0.0,3.71167865564,18.077,33.2506837657,0.0,31.51155,1.7391337657
