Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,51.2129363382,6.81986471911,13.8276046909,0.0,12.925468867,10.100111941,0.02,0.0,0.0,0.02
 01/01  02:00:00,49.1487329176,6.65452399064,11.9297109567,0.0,12.925468867,10.100111941,0.02,0.0,0.0,0.02
 01/01  03:00:00,42.8021140436,6.48947253087,10.3671757792,0.0,8.34152022915,10.0650221343,5.75186277709,0.0,0.0,5.75186277709
 01/01  04:00:00,41.886840756,6.40353877627,9.5378437324,0.0,8.34152022915,10.0650221343,0.02,0.0,0.0,0.02
 01/01  05:00:00,43.1003307825,6.35730845257,9.19108388551,0.0,8.34152022915,11.6705166398,5.75559869962,0.0,0.0,5.75559869962
 01/01  06:00:00,47.0079321582,6.31187695212,8.98596640506,0.0,8.80141237637,15.3678112995,0.02,0.0,0.0,0.02
 01/01  07:00:00,68.6348379231,6.47691107266,10.4715240244,0.0,18.5082010057,25.6353820695,5.76682267227,0.0,0.0,5.76682267227
 01/01  08:00:00,82.2829077174,6.92255461448,14.7558909807,0.0,19.4926561212,41.1001056674,11.5506041553,0.0,0.0,11.5506041553
 01/01  09:00:00,117.66167014,7.67787502281,25.6225158396,0.0,26.3286599382,57.9988325916,23.419020628,0.0,0.0,23.419020628
 01/01  10:00:00,108.492980251,7.76300345389,31.6413815973,0.0,26.2443270014,42.8153538416,35.5366460846,0.0,18.025,17.5116460846
 01/01  11:00:00,84.8246229047,7.61742737096,31.9927753843,0.0,21.7447113004,23.4437158914,35.5025273638,0.0,18.025,17.4775273638
 01/01  12:00:00,82.2783532124,7.61597903072,31.8496977897,0.0,19.3449162599,23.4437158914,35.4786582293,0.0,18.025,17.4536582293
 01/01  13:00:00,83.5822005031,7.72635028471,32.900718302,0.0,19.190480192,23.7425572507,35.4518498058,0.0,18.025,17.4268498058
 01/01  14:00:00,84.863069042,7.80018917466,34.0816243429,0.0,19.260583323,23.698576057,31.7715055058,0.0,18.025,13.7465055058
 01/01  15:00:00,84.3049783708,7.75841273662,33.565311347,0.0,19.260583323,23.698576057,33.3311332564,0.0,18.025,15.3061332564
 01/01  16:00:00,83.0814436445,7.70905838387,32.6810829956,0.0,19.260583323,23.4086260847,35.454380196,0.0,18.025,17.429380196
 01/01  17:00:00,84.814891327,7.56623237786,30.1060755003,0.0,19.260583323,27.8781056672,18.045,0.0,18.025,0.02
 01/01  18:00:00,94.2022285133,7.57341435064,27.0958904327,0.0,18.1807569449,37.5792895564,5.75920571288,0.0,0.0,5.75920571288
 01/01  19:00:00,111.246064742,7.75344610055,26.2982619072,0.0,32.6059821062,37.0465235296,5.7628578257,0.0,0.0,5.7628578257
 01/01  20:00:00,111.314807899,7.84751417469,26.042142121,0.0,36.8143715336,33.066984531,5.77021226825,0.0,0.0,5.77021226825
 01/01  21:00:00,117.360732969,8.0209868313,26.555091011,0.0,36.43363367,38.8072253906,5.77016639425,0.0,0.0,5.77016639425
 01/01  22:00:00,115.0113127,8.02151156356,26.5618564205,0.0,36.0963922311,36.7877557581,5.77015729051,0.0,0.0,5.77015729051
 01/01  23:00:00,88.8316588849,7.57347392723,22.150940486,0.0,30.9507766546,20.6087787026,5.78532338061,0.0,0.0,5.78532338061
 01/01  24:00:00,60.4947219626,7.07303077602,16.7481766461,0.0,17.4250845679,11.7056064465,5.76669955862,0.0,0.0,5.76669955862
 01/02  01:00:00,50.1240318557,6.82733521176,14.0505362392,0.0,11.6412384099,10.0650221343,5.75555429389,0.0,0.0,5.75555429389
 01/02  02:00:00,46.5575877002,6.65484997089,12.2171351679,0.0,10.0992000411,10.047477231,0.02,0.0,0.0,0.02
 01/02  03:00:00,43.0395852623,6.50999906279,10.7035458168,0.0,8.25718729233,10.0299323277,0.02,0.0,0.0,0.02
 01/02  04:00:00,42.0128437599,6.4208114638,9.76598217396,0.0,8.25718729233,10.0299323277,5.75074145951,0.0,0.0,5.75074145951
 01/02  05:00:00,42.7522037421,6.34532592292,8.97437021822,0.0,8.25718729233,11.6354268332,0.02,0.0,0.0,0.02
 01/02  06:00:00,50.9525862615,6.37683319981,9.56398583133,0.0,12.1011305571,15.3678112995,5.76658594208,0.0,0.0,5.76658594208
 01/02  07:00:00,85.6233980737,6.92710360519,14.1569348172,0.0,19.7275818095,37.2640762949,11.550512705,0.0,0.0,11.550512705
 01/02  08:00:00,101.72140995,7.3843969089,18.7300881006,0.0,24.3117294858,51.2795993405,5.79983053959,0.0,0.0,5.79983053959
 01/02  09:00:00,91.607371866,7.04571613088,20.2290686014,0.0,23.6694662846,40.6342015617,23.3437667559,0.0,0.0,23.3437667559
 01/02  10:00:00,93.767958357,7.29894366295,27.1433373731,0.0,23.6694662846,35.6302164847,35.5025184793,0.0,18.025,17.4775184793
 01/02  11:00:00,78.701093161,7.34919324051,29.622635917,0.0,18.7433767983,22.9618409725,35.4802274661,0.0,18.025,17.4552274661
 01/02  12:00:00,81.2155731434,7.55954923675,31.9287102409,0.0,18.7433767983,22.9618409725,35.4555451446,0.0,18.025,17.4305451446
 01/02  13:00:00,81.8958134218,7.65643069451,32.4686206702,0.0,18.5889407304,23.1597249699,29.6497191375,0.0,18.025,11.6247191375
 01/02  14:00:00,86.3790741545,7.84408578053,36.5177241912,0.0,18.7433767983,23.2517909448,35.4538046716,0.0,18.025,17.4288046716
 01/02  15:00:00,90.5161528769,8.07072947088,40.4281602065,0.0,18.7433767983,23.2517909448,35.4509715915,0.0,18.025,17.4259715915
 01/02  16:00:00,85.0651451699,7.8573916249,35.4804392455,0.0,18.7433767983,22.9618409725,29.6494267927,0.0,18.025,11.6244267927
 01/02  17:00:00,84.6314784078,7.64410489914,30.8087734305,0.0,18.7433767983,27.431320555,23.7805761019,0.0,18.025,5.75557610185
 01/02  18:00:00,97.4385972278,7.67210690888,27.6319460396,0.0,17.6635504202,40.6971502883,0.02,0.0,0.0,0.02
 01/02  19:00:00,105.786922075,7.70090909681,25.6793816058,0.0,27.5259009287,37.3340067412,11.5431388561,0.0,0.0,11.5431388561
 01/02  20:00:00,107.181431022,7.7320543376,24.7169993984,0.0,33.8341110165,33.3544677425,5.77025820229,0.0,0.0,5.77025820229
 01/02  21:00:00,115.418195908,7.88580286733,24.6458576429,0.0,36.5179666069,38.8247702939,5.76960446544,0.0,0.0,5.76960446544
 01/02  22:00:00,109.725563407,7.90178753796,24.4528084571,0.0,32.965339924,36.8579353714,5.78473843429,0.0,0.0,5.78473843429
 01/02  23:00:00,80.9150530615,7.40719536084,19.6836443825,0.0,25.6355707503,20.6438685092,5.77427380319,0.0,0.0,5.77427380319
 01/02  24:00:00,56.4530356304,6.94037785791,15.240885082,0.0,15.0252895274,11.7056064465,5.75941695007,0.0,0.0,5.75941695007
 01/03  01:00:00,49.2220683302,6.74137184989,13.23453437,0.0,11.6412384099,10.0650221343,5.7555891627,0.0,0.0,5.7555891627
 01/03  02:00:00,46.2898302472,6.61855737677,11.9856694735,0.0,10.0992000411,10.047477231,0.02,0.0,0.0,0.02
 01/03  03:00:00,43.4089171399,6.52222909282,11.0606465227,0.0,8.25718729233,10.0299323277,0.02,0.0,0.0,0.02
 01/03  04:00:00,42.8558835611,6.46903086033,10.5608016701,0.0,8.25718729233,10.0299323277,5.75161369638,0.0,0.0,5.75161369638
 01/03  05:00:00,44.0882338451,6.42855069418,10.2271741993,0.0,8.25718729233,11.6354268332,0.02,0.0,0.0,0.02
 01/03  06:00:00,52.1154888597,6.45579795249,10.6479214943,0.0,12.1011305571,15.3678112995,5.76663406173,0.0,0.0,5.76663406173
 01/03  07:00:00,86.7412799358,7.01001489649,15.1919010203,0.0,19.7275818095,37.2640762949,11.5506456072,0.0,0.0,11.5506456072
 01/03  08:00:00,102.883418858,7.46257490134,19.8139140315,0.0,24.3117294858,51.2795993405,5.80008493459,0.0,0.0,5.80008493459
 01/03  09:00:00,94.6950262598,7.17110657167,23.1913292373,0.0,23.6694662846,40.6342015617,23.3426358924,0.0,0.0,23.3426358924
 01/03  10:00:00,96.0516104114,7.40525618635,29.3206751755,0.0,23.6694662846,35.6302164847,35.4985087244,0.0,18.025,17.4735087244
 01/03  11:00:00,78.3354691053,7.28425404619,29.3219486948,0.0,18.7433767983,22.9618409725,35.4790098158,0.0,18.025,17.4540098158
 01/03  12:00:00,79.9102380786,7.43057460422,30.7523485828,0.0,18.7433767983,22.9618409725,35.4558606077,0.0,18.025,17.4308606077
 01/03  13:00:00,80.8778101161,7.52077563061,31.5862712787,0.0,18.5889407304,23.1597249699,29.6499401224,0.0,18.025,11.6249401224
