STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 00:53,FM-15,FEW:02 180,10.00,,68,20.0,59,15.0,52,11.1,57,7,180,,29.81,0,,29.84,0.00,29.84,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 01:53,FM-15,FEW:02 180,10.00,,65,18.3,58,14.6,53,11.7,66,9,180,,29.82,,,29.85,0.00,29.85,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 02:53,FM-15,FEW:02 55 FEW:02 180,10.00,,62,16.7,57,13.9,53,11.7,73,9,160,,29.82,,,29.85,0.00,29.85,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 03:53,FM-15,FEW:02 50 SCT:04 180,10.00,,63,17.2,57,14.1,53,11.7,70,8,150,,29.83,1,,29.86,0.00,29.86,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 04:53,FM-15,FEW:02 40 SCT:04 180,10.00,,61,16.1,57,13.6,53,11.7,75,9,150,,29.84,,,29.87,0.00,29.87,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 05:53,FM-15,FEW:02 40 FEW:02 250,10.00,,60,15.6,56,13.4,53,11.7,78,8,160,,29.85,,,29.88,0.00,29.88,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 06:53,FM-15,FEW:02 36,10.00,,62,16.7,57,13.9,53,11.7,73,8,170,,29.87,3,,29.90,0.00,29.90,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 07:53,FM-15,FEW:02 40,10.00,,65,18.3,59,14.9,54,12.2,68,7,200,,29.88,,,29.91,0.00,29.91,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 08:53,FM-15,CLR:00,10.00,,68,20.0,60,15.5,54,12.2,61,6,180,,29.88,,,29.91,0.00,29.91,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 09:53,FM-15,CLR:00,10.00,,74,23.3,63,17.4,56,13.3,54,8,190,,29.88,1,,29.91,0.00,29.91,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 10:53,FM-15,CLR:00,10.00,,79,26.1,66,18.6,57,13.9,47,6,190,,29.88,,,29.91,0.00,29.91,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 11:53,FM-15,CLR:00,10.00,,84,28.9,68,19.9,58,14.4,41,9,180,,29.86,,,29.90,0.00,29.89,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 12:53,FM-15,CLR:00,8.00,,87,30.6,69,20.7,59,15.0,39,8,200,,29.85,8,,29.88,0.00,29.88,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 13:53,FM-15,CLR:00,6.00,HZ:7 |FU:05 |HZ:05,89,31.7,69,20.5,57,13.9,34,8,210,,29.82,,,29.86,0.00,29.85,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 14:53,FM-15,CLR:00,5.00,HZ:7 |FU:05 |HZ:05,91,32.8,71,21.6,60,15.6,35,10,200,,29.80,,,29.83,0.00,29.83,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 15:53,FM-15,CLR:00,5.00,HZ:7 |FU:05 |HZ:05,92,33.3,69,20.7,56,13.3,30,14,180,,29.79,6,,29.82,0.00,29.82,,,,,,,,,,0508,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 16:53,FM-15,CLR:00,7.00,,90,32.2,68,20.1,55,12.8,31,15,180,,29.77,,,29.80,0.00,29.80,,,,,,,,,,0508,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 17:53,FM-15,CLR:00,10.00,,86,30.0,67,19.4,55,12.8,35,14,170,,29.77,,,29.80,0.00,29.80,,,,,,,,,,0508,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:93225,SACRAMENTO METROPOLITAN AIRPORT CA US,7,38.69556,-121.58972,2018-08-01 18:53,FM-15,CLR:00,10.00,,82,27.8,65,18.1,53,11.7,37,11,170,,29.77,5,,29.80,0.00,29.80,,,,,,,,,,0508,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
