Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5316978471,2.17011744936,0.0,0.0,1.85583932782,5.577,45.3824694273,40.0690484379,3.0011,2.31232098933
 01/01  02:00:00,9.47966022235,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.50362723077,0.0,0.0,0.0,0.618613109274,5.0,3.59315092281,0.0,3.0011,0.592050922808
 01/01  04:00:00,9.5157356216,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.66549740785,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.6660797624,2.17011744936,0.0,0.0,1.85583932782,5.577,56.0928518672,50.9991062312,4.50165,0.592095635939
 01/01  07:00:00,28.138259055,2.17011744936,0.0,0.0,3.71167865564,18.077,59.3472334278,44.1046859325,13.50495,1.73759749534
 01/01  08:00:00,26.1939945062,2.17011744936,0.0,0.0,3.71167865564,18.077,62.1449392981,39.9719793619,21.0077,1.16525993621
 01/01  09:00:00,20.5602085844,2.17011744936,0.0,0.0,3.71167865564,13.077,55.5278782411,38.7841274709,15.0055,1.73825077012
 01/01  10:00:00,20.5683545108,2.17011744936,0.0,0.0,3.71167865564,13.077,51.6323919966,35.4613818109,15.0055,1.1655101857
 01/01  11:00:00,25.566196068,2.17011744936,0.0,0.0,3.71167865564,18.077,67.7714787032,30.1451053776,33.0121,4.61427332557
 01/01  12:00:00,26.7386417036,2.17011744936,0.0,0.0,3.71167865564,18.077,68.5784318948,23.4499260879,40.51485,4.61365580686
 01/01  13:00:00,25.8199328749,2.17011744936,0.0,0.0,3.71167865564,18.077,58.5798723575,19.104346437,36.0132,3.46232592053
 01/01  14:00:00,25.6158157011,2.17011744936,0.0,0.0,3.71167865564,18.077,55.5098035127,19.9619596357,31.51155,4.03629387703
 01/01  15:00:00,20.6145653546,2.17011744936,0.0,0.0,3.71167865564,13.077,45.9816619807,22.6604269177,21.0077,2.31353506308
 01/01  16:00:00,20.6053075878,2.17011744936,0.0,0.0,3.71167865564,13.077,45.5450339723,23.150819545,19.50715,2.88706442731
 01/01  17:00:00,21.7869777998,2.17011744936,0.0,0.0,3.71167865564,13.077,50.6132796577,25.2182336127,22.50825,2.88679604492
 01/01  18:00:00,28.0551631526,2.17011744936,0.0,0.0,3.71167865564,18.077,53.307079834,24.3352209524,25.50935,3.46250888156
 01/01  19:00:00,28.0650891177,2.17011744936,0.0,0.0,3.71167865564,18.077,51.6730177852,21.5491870286,25.50935,4.61448075663
 01/01  20:00:00,28.2093154532,2.17011744936,0.0,0.0,3.71167865564,18.077,52.1247814811,22.0018308261,25.50935,4.61360065496
 01/01  21:00:00,23.2010876383,2.17011744936,0.0,0.0,3.71167865564,13.077,48.2359732085,22.26587719,22.50825,3.46184601852
 01/01  22:00:00,23.142277227,2.17011744936,0.0,0.0,3.71167865564,13.077,47.537219753,21.9156613996,21.0077,4.61385835341
 01/01  23:00:00,23.0406233476,2.17011744936,0.0,0.0,3.71167865564,13.077,44.9539965678,23.4853588498,18.0066,3.46203771795
 01/01  24:00:00,24.2265674419,2.17011744936,0.0,0.0,3.71167865564,13.077,30.4062926258,25.093894662,3.0011,2.31129796381
 01/02  01:00:00,13.7704963698,2.17011744936,0.0,0.0,1.85583932782,5.577,34.5847827881,29.8451731478,3.0011,1.73850964029
 01/02  02:00:00,9.54256955496,0.0,0.0,0.0,0.618613109274,5.0,3.59316999503,0.0,3.0011,0.592069995027
 01/02  03:00:00,9.57458118087,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.58860774234,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
