Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.7670543789,5.38853025775,0.971575439988,0.840521850525,12.925468867,10.100111941,32.5767949616,32.5567949616,0.0,0.02
 01/01  02:00:00,38.4856966803,5.39441604723,0.68082692413,1.84523477374,12.925468867,10.100111941,43.6626444681,37.902230262,0.0,5.76041420617
 01/01  03:00:00,34.4306882243,5.39997780493,0.44875822847,2.63576951249,8.34152022915,10.0650221343,44.5306964142,38.7703910078,0.0,5.76030540647
 01/01  04:00:00,34.991526393,5.41142415454,0.299956079588,3.33396608756,8.34152022915,10.0650221343,40.3164128974,40.2964128974,0.0,0.02
 01/01  05:00:00,37.0501965319,5.42116939086,0.19011128405,3.8860255957,8.34152022915,11.6705166398,47.1147875077,41.3478723463,0.0,5.76691516139
 01/01  06:00:00,42.098185323,5.45499981074,0.104209306244,4.82768488276,8.80141237637,15.3678112995,47.3535464864,41.5800119628,0.0,5.77353452363
 01/01  07:00:00,61.7206668626,5.45701692916,0.357447888348,4.21812155944,18.5082010057,25.6353820695,51.9113441798,40.3591465425,0.0,11.5521976372
 01/01  08:00:00,71.9384757468,5.50587353258,1.32869093931,2.61258757881,19.4926561212,41.1001056674,49.295576067,37.6765032033,0.0,11.6190728637
 01/01  09:00:00,94.7677838152,5.7089612047,3.77675405828,0.917007120412,26.3286599382,57.9988325916,69.9679497136,28.4665930251,0.0,41.5013566885
 01/01  10:00:00,81.0103510528,5.64462038296,5.13478558623,1.13976557893,26.2443270014,42.8153538416,72.1076623546,24.6114221773,18.025,29.4712401773
 01/01  11:00:00,57.4920647082,5.58331407069,4.30850404934,2.383961814,21.7447113004,23.4437158914,70.822407014,23.4210566237,18.025,29.3763503903
 01/01  12:00:00,54.9504828884,5.60256619888,4.54540971899,1.98844481989,19.3449162599,23.4437158914,61.4151220091,19.9414451396,18.025,23.4486768695
 01/01  13:00:00,54.5476191367,5.60157192061,4.5893356768,1.40067012972,19.190480192,23.7425572507,59.0825384459,17.6708864235,18.025,23.3866520224
 01/01  14:00:00,54.098781498,5.57902103233,4.53713414232,1.00046127513,19.260583323,23.698576057,56.7716250011,15.3626559983,18.025,23.3839690028
 01/01  15:00:00,53.521384721,5.53253009173,4.32128527342,0.685406260513,19.260583323,23.698576057,51.4953784015,15.9197335287,18.025,17.5506448728
 01/01  16:00:00,52.7411996509,5.4838950707,4.08946855069,0.475625603437,19.260583323,23.4086260847,58.4755992189,17.0546157411,18.025,23.3959834778
 01/01  17:00:00,59.7955701911,5.43287117021,2.91580422284,0.535352243104,19.260583323,27.8781056672,42.3881732302,18.5964917601,18.025,5.7666814701
 01/01  18:00:00,70.7169836633,5.45703014098,1.62877461983,0.329065138508,18.1807569449,37.5792895564,25.5294160679,19.7570916516,0.0,5.77232441634
 01/01  19:00:00,85.5362837872,5.57268258704,2.61683840324,0.150974173451,32.6059821062,37.0465235296,33.9593341976,22.4199232215,0.0,11.5394109761
 01/01  20:00:00,86.4305495077,5.6546955388,3.25072164144,0.0980674675635,36.8143715336,33.066984531,29.320666174,23.5281237773,0.0,5.79254239674
 01/01  21:00:00,92.765536666,5.77744199254,4.1129247694,0.088599870483,36.43363367,38.8072253906,35.4357409197,23.8708137553,0.0,11.5649271644
 01/01  22:00:00,90.5190163889,5.79672464361,4.19729749698,0.0951377238614,36.0963922311,36.7877557581,35.1309421531,23.565729059,0.0,11.5652130941
 01/01  23:00:00,67.5293953655,5.5915039291,2.69127164168,0.13650181051,30.9507766546,20.6087787026,36.2576644745,24.63838885,0.0,11.6192756244
 01/01  24:00:00,43.9291660767,5.43705111533,1.47016734832,0.34675910996,17.4250845679,11.7056064465,36.5345699238,24.9814922548,0.0,11.553077669
 01/02  01:00:00,36.2786939032,5.40297334829,1.19489683313,0.433706224731,11.6412384099,10.0650221343,24.4396166719,24.4196166719,0.0,0.02
 01/02  02:00:00,34.5595001368,5.37651220881,0.981646664243,0.515021418361,10.0992000411,10.047477231,30.2126152578,24.4521388524,0.0,5.7604764054
 01/02  03:00:00,32.7121770938,5.36310111689,0.819680397423,0.702630662657,8.25718729233,10.0299323277,29.8183551525,24.0578510793,0.0,5.76050407322
 01/02  04:00:00,32.8993592459,5.36226426334,0.709867805409,1.00046464909,8.25718729233,10.0299323277,30.3736174203,24.6138728545,0.0,5.75974456585
