Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.42815341584,10.9580250909,0.0,10.9234828765,0.0,0.300803947373,0.300803947373,0.300803947373,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.177363624566
 01/01  02:00:00,1.17691687716,11.1607283917,0.0,11.1289241111,0.0,0.306470012894,0.306470012894,0.306470012894,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.106542547374
 01/01  03:00:00,1.09758093967,11.6141093485,0.0,11.5826738132,0.0,0.318968970155,0.318968970155,0.318968970155,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0871449497615
 01/01  04:00:00,1.10045032196,12.1209978726,0.0,12.0900048316,0.0,0.332955202012,0.332955202012,0.332955202012,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0925931723473
 01/01  05:00:00,1.16010663194,12.3299046226,0.0,12.3000823479,0.0,0.338754621912,0.338754621912,0.338754621912,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.149804175129
 01/01  06:00:00,1.48430194134,12.7214966738,0.0,12.688217412,0.0,0.349456159365,0.349456159365,0.349456159365,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.396554589337
 01/01  07:00:00,2.25000388538,12.4530252711,0.0,12.4145743568,0.0,0.341942846019,0.341942846019,0.341942846019,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.859433633047
 01/01  08:00:00,2.84723258303,11.9429241754,0.0,11.9020671981,0.0,0.32784097356,0.32784097356,0.32784097356,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.991096539258
 01/01  09:00:00,2.70933841963,10.4196406881,0.0,10.3850984737,0.0,0.286059050414,0.286059050414,0.286059050414,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.964361218859
 01/01  10:00:00,2.29807009514,8.7907029476,0.0,8.76130472995,0.0,0.241314351962,0.241314351962,0.241314351962,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.864306638498
