Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.575515265968,1.72016211172,0.0,1.68396693643,0.0,0.0292209468625,0.0292209468625,0.0292209468625,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.476258222848,1.95546863127,0.0,1.92097020364,0.0,0.0333335334743,0.0333335334743,0.0333335334743,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.450739657635,2.08856015765,0.0,2.06169507332,0.0,0.0357754543043,0.0357754543043,0.0357754543043,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566418
 01/01  04:00:00,0.451894635878,2.20989139305,0.0,2.18330053056,0.0,0.0378856065449,0.0378856065449,0.0378856065449,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960767
 01/01  05:00:00,0.481559776595,2.2917533865,0.0,2.25848324421,0.0,0.0391902105921,0.0391902105921,0.0391902105921,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009260954
 01/01  06:00:00,0.687950556835,2.35234670947,0.0,2.30955030151,0.0,0.0400763489929,0.0400763489929,0.0400763489929,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272117002735
 01/01  07:00:00,1.09761018748,2.259032583,0.0,2.18343282446,0.0,0.0378879021679,0.0378879021679,0.0378879021679,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273838
 01/01  08:00:00,1.29657063699,2.82327015849,0.0,2.70919702838,0.0,0.0470111976037,0.0470111976037,0.0470111976037,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373522
 01/01  09:00:00,1.16948759929,1.91916974159,0.0,1.80162607821,0.0,0.0312626208737,0.0312626208737,0.0312626208737,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.971359629545,1.38634392998,0.0,1.26753264993,0.0,0.0219947930146,0.0219947930146,0.0219947930146,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191959593
 01/01  11:00:00,0.872563089451,1.04686430693,0.0,0.939463908361,0.0,0.0163019975936,0.0163019975936,0.0163019975936,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438499949
 01/01  12:00:00,0.794912160026,0.703303534199,0.0,0.581108690076,0.0,0.0100836576935,0.0100836576935,0.0100836576935,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.38881131171
 01/01  13:00:00,0.735688322186,0.595767021781,0.0,0.459097657588,0.0,0.00796646772978,0.00796646772978,0.00796646772978,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009555001
 01/01  14:00:00,0.708747443703,0.536857301684,0.0,0.421747357169,0.0,0.00731834862469,0.00731834862469,0.00731834862469,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394967237
 01/01  15:00:00,0.69836634794,0.678678466175,0.0,0.56693472708,0.0,0.00983770475307,0.00983770475307,0.00983770475307,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085707128
 01/01  16:00:00,0.74021320595,0.811337135273,0.0,0.671851284225,0.0,0.0116582637409,0.0116582637409,0.0116582637409,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996987966
 01/01  17:00:00,0.903353761986,1.13245933654,0.0,0.915141234316,0.0,0.0158799396836,0.0158799396836,0.0158799396836,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362591
 01/01  18:00:00,1.20861276308,2.20734129307,0.0,1.86334622466,0.0,0.0323336164383,0.0323336164383,0.0323336164383,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832216764
 01/01  19:00:00,1.45219667959,1.21539452701,0.0,0.938303486065,0.0,0.0162818614274,0.0162818614274,0.0162818614274,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309277949
 01/01  20:00:00,1.46111561231,1.00382049128,0.0,0.844018536655,0.0,0.0146457868483,0.0146457868483,0.0146457868483,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506522490455
