Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.3936911614,3.81997498414,0.0,0.0,4.58992532963,8.1892,60.8614578659,51.7521010087,3.33988,5.76947685724
 01/01  02:00:00,14.7581261595,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7800670468,0.0,0.0,0.0,1.52997510988,7.4902,3.93193184922,0.0,3.33988,0.592051849221
 01/01  04:00:00,14.7908978289,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9418950468,0.0,0.0,0.0,1.52997510988,7.4902,3.93193778479,0.0,3.33988,0.592057784788
 01/01  06:00:00,22.5156516627,3.81997498414,0.0,0.0,4.58992532963,8.1892,68.4627110429,60.0930110429,8.3497,0.02
 01/01  07:00:00,38.4772302809,3.81997498414,0.0165388700913,0.0,9.17985065927,19.4245,76.7907078143,56.6293183244,16.6994,3.46198948988
 01/01  08:00:00,42.7674878871,3.81997498414,0.0143279545942,0.0,9.17985065927,26.9147,74.084696446,44.9990659523,25.0491,4.03653049372
 01/01  09:00:00,41.7161743721,3.81997498414,0.00409950171636,0.0,9.17985065927,26.9147,79.4012018067,42.53990107,33.3988,3.46250073672
 01/01  10:00:00,34.2274370703,3.81997498414,0.0,0.0,9.17985065927,19.4245,77.529464345,49.0185198771,25.0491,3.46184446794
 01/01  11:00:00,41.7374418153,3.81997498414,0.0161275546725,0.0,9.17985065927,26.9147,99.4190858268,46.0890652861,41.7485,11.5815205407
 01/01  12:00:00,42.4617995217,3.81997498414,0.0,0.0,9.17985065927,26.9147,96.1022117557,42.7716329851,41.7485,11.5820787707
 01/01  13:00:00,41.7816504312,3.81997498414,0.0,0.0,9.17985065927,26.9147,86.1766516413,35.178694788,41.7485,9.24945685329
 01/01  14:00:00,34.2644271423,3.81997498414,0.0,0.0,9.17985065927,19.4245,77.2531937929,34.6045743854,33.3988,9.24981940755
 01/01  15:00:00,34.2699744949,3.81997498414,0.0,0.0,9.17985065927,19.4245,69.2908087866,37.3136606398,25.0491,6.92804814681
 01/01  16:00:00,34.2603385622,3.81997498414,0.0,0.0,9.17985065927,19.4245,79.5733883426,38.6712376097,33.3988,7.50335073287
 01/01  17:00:00,42.7569837028,3.81997498414,0.0158945495852,0.0,9.17985065927,26.9147,93.2457706542,36.2227741562,50.0982,6.92479649809
 01/01  18:00:00,45.9257780136,3.81997498414,0.0,0.0,9.17985065927,26.9147,93.5248223626,34.180097861,50.0982,9.24652450158
 01/01  19:00:00,45.9315394135,3.81997498414,0.0,0.0,9.17985065927,26.9147,91.2759782409,29.5997782581,50.0982,11.5779999828
 01/01  20:00:00,38.5734915261,3.81997498414,0.0,0.0,9.17985065927,19.4245,75.224617171,30.247960483,33.3988,11.577856688
 01/01  21:00:00,38.5543632604,3.81997498414,0.0,0.0,9.17985065927,19.4245,72.6640855698,30.0196992809,33.3988,9.24558628887
 01/01  22:00:00,38.4822907651,3.81997498414,0.0,0.0,9.17985065927,19.4245,74.1238698733,37.4979223632,25.0491,11.5768475102
 01/01  23:00:00,38.3703823272,3.81997498414,0.0,0.0,9.17985065927,19.4245,66.9814460453,41.0366945953,16.6994,9.24535145002
 01/01  24:00:00,39.1400356503,3.81997498414,0.0,0.0,9.17985065927,19.4245,54.2959471959,41.3327734473,8.3497,4.61347374862
 01/02  01:00:00,22.4176824601,3.81997498414,0.0,0.0,4.58992532963,8.1892,56.7331720045,48.7785448255,3.33988,4.61474717893
 01/02  02:00:00,14.7664024543,0.0,0.0,0.0,1.52997510988,7.4902,3.93194085054,0.0,3.33988,0.592060850539
 01/02  03:00:00,14.7903557703,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.7986054529,0.0,0.0,0.0,1.52997510988,7.4902,3.93194677177,0.0,3.33988,0.592066771773
 01/02  05:00:00,14.9408619877,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.5099682821,3.81997498414,0.0,0.0,4.58992532963,8.1892,69.7153852819,61.3456852819,8.3497,0.02
 01/02  07:00:00,38.4838002361,3.81997498414,0.0171831547962,0.0,9.17985065927,19.4245,74.0859900662,53.3504812211,16.6994,4.03610884517
 01/02  08:00:00,42.7980724088,3.81997498414,0.0232952601804,0.0,9.17985065927,26.9147,79.6501740932,40.6821688294,25.0491,13.9189052639
 01/02  09:00:00,41.7402060594,3.81997498414,0.00503708157991,0.0,9.17985065927,26.9147,84.5059173732,38.9353909626,33.3988,12.1717264107
 01/02  10:00:00,34.2526305902,3.81997498414,0.0,0.0,9.17985065927,19.4245,74.0798968325,38.6173425056,25.0491,10.413454327
 01/02  11:00:00,41.7594729951,3.81997498414,0.0112469483053,0.0,9.17985065927,26.9147,88.3101110447,37.3100201354,41.7485,9.2515909093
 01/02  12:00:00,42.481457897,3.81997498414,0.0,0.0,9.17985065927,26.9147,79.2947127401,27.1321755399,41.7485,10.4140372001
 01/02  13:00:00,41.8159173451,3.81997498414,0.0,0.0,9.17985065927,26.9147,68.4994875303,17.4991010892,41.7485,9.25188644104
 01/02  14:00:00,34.2994505923,3.81997498414,0.0,0.0,9.17985065927,19.4245,60.3830352809,18.3216851654,33.3988,8.66255011556
 01/02  15:00:00,34.3061900679,3.81997498414,0.0,0.0,9.17985065927,19.4245,54.2532812422,22.279599667,25.0491,6.92458157524
 01/02  16:00:00,34.29522166,3.81997498414,0.0,0.0,9.17985065927,19.4245,66.2109623632,25.8865224256,33.3988,6.92563993759
 01/02  17:00:00,42.7867001989,3.81997498414,0.00995246096743,0.0,9.17985065927,26.9147,80.58963257,23.5647097642,50.0982,6.92672280573
 01/02  18:00:00,45.9553896367,3.81997498414,0.0,0.0,9.17985065927,26.9147,80.4091406539,21.0611757952,50.0982,9.24976485872
 01/02  19:00:00,45.957564411,3.81997498414,0.00480296294844,0.0,9.17985065927,26.9147,80.5645975356,17.7174841304,50.0982,12.7489134052
 01/02  20:00:00,38.5949182803,3.81997498414,0.0,0.0,9.17985065927,19.4245,67.2325163409,19.9117995944,33.3988,13.9219167465
 01/02  21:00:00,38.5748534209,3.81997498414,0.0,0.0,9.17985065927,19.4245,66.4526307597,21.4755418895,33.3988,11.5782888702
 01/02  22:00:00,38.4946453658,3.81997498414,0.0,0.0,9.17985065927,19.4245,68.0570228428,30.2583456818,25.0491,12.7495771611
 01/02  23:00:00,38.3781622165,3.81997498414,0.0,0.0,9.17985065927,19.4245,63.3586699893,36.2474048358,16.6994,10.4118651535
 01/02  24:00:00,39.1472119044,3.81997498414,0.0,0.0,9.17985065927,19.4245,53.2720749095,39.1533380758,8.3497,5.76903683367
 01/03  01:00:00,22.4230817554,3.81997498414,0.0,0.0,4.58992532963,8.1892,55.413728304,47.4592165804,3.33988,4.61463172361
 01/03  02:00:00,14.7732022011,0.0,0.0,0.0,1.52997510988,7.4902,3.93193894491,0.0,3.33988,0.592058944911
 01/03  03:00:00,14.7964494706,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  04:00:00,14.8074275002,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.4703546611,0.0,0.0,0.0,1.52997510988,7.4902,3.93194486918,0.0,3.33988,0.592064869178
 01/03  06:00:00,23.0459323976,3.81997498414,0.0,0.0,4.58992532963,8.1892,62.4082354421,54.0385354421,8.3497,0.02
 01/03  07:00:00,38.7258552026,3.81997498414,0.0174185373997,0.0,9.17985065927,19.4245,71.2287779397,50.4929173799,16.6994,4.03646055976
 01/03  08:00:00,42.7943987548,3.81997498414,0.0225678134496,0.0,9.17985065927,26.9147,80.3812853878,41.9934383862,25.0491,13.3387470016
 01/03  09:00:00,41.7327426518,3.81997498414,0.0047834963337,0.0,9.17985065927,26.9147,87.3690513797,41.218129234,33.3988,12.7521221457
 01/03  10:00:00,34.2425458554,3.81997498414,0.0,0.0,9.17985065927,19.4245,76.9750318311,41.5126655542,25.0491,10.4132662769
 01/03  11:00:00,41.7438200606,3.81997498414,0.0125668342238,0.0,9.17985065927,26.9147,93.7102578698,42.7107123969,41.7485,9.25104547288
 01/03  12:00:00,42.4652812559,3.81997498414,0.0,0.0,9.17985065927,26.9147,87.6992456362,35.5362560184,41.7485,10.4144896178
 01/03  13:00:00,41.7839370038,3.81997498414,0.0,0.0,9.17985065927,26.9147,79.588913518,28.5889379423,41.7485,9.25147557571
 01/03  14:00:00,34.2624890657,3.81997498414,0.0,0.0,9.17985065927,19.4245,73.9007879747,31.8380656367,33.3988,8.66392233808
 01/03  15:00:00,34.2614525119,3.81997498414,0.0,0.0,9.17985065927,19.4245,70.251546971,38.278095336,25.0491,6.92435163501
 01/03  16:00:00,34.248992967,3.81997498414,0.0,0.0,9.17985065927,19.4245,82.1054252806,41.7811755464,33.3988,6.92544973414
 01/03  17:00:00,42.7432261036,3.81997498414,0.0149970936024,0.0,9.17985065927,26.9147,96.9311292198,39.9061301155,50.0982,6.92679910427
 01/03  18:00:00,45.9158314811,3.81997498414,0.0,0.0,9.17985065927,26.9147,94.4446584752,35.0968524165,50.0982,9.24960605876
 01/03  19:00:00,45.9269209881,3.81997498414,0.004957247328,0.0,9.17985065927,26.9147,91.2224844201,28.375051857,50.0982,12.7492325631
 01/03  20:00:00,38.4250515487,3.81997498414,0.0,0.0,9.17985065927,19.4245,76.9018962083,29.581112984,33.3988,13.9219832243
 01/03  21:00:00,38.4170164776,3.81997498414,0.0,0.0,9.17985065927,19.4245,74.5035563521,29.5263161399,33.3988,11.5784402122
 01/03  22:00:00,38.3754149273,3.81997498414,0.0,0.0,9.17985065927,19.4245,73.8040975272,36.005134658,25.0491,12.7498628691
 01/03  23:00:00,38.3671153298,3.81997498414,0.0,0.0,9.17985065927,19.4245,66.9421061148,39.8305321924,16.6994,10.4121739223
 01/03  24:00:00,39.1379032299,3.81997498414,0.0,0.0,9.17985065927,19.4245,57.6402967385,43.5213675624,8.3497,5.76922917611
 01/04  01:00:00,22.4113164399,3.81997498414,0.0,0.0,4.58992532963,8.1892,58.8386021418,50.8842464651,3.33988,4.61447567667
 01/04  02:00:00,14.7628828119,0.0,0.0,0.0,1.52997510988,7.4902,3.93195944598,0.0,3.33988,0.592079445979
 01/04  03:00:00,14.7896984564,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  04:00:00,14.7995371676,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  05:00:00,14.9487350017,0.0,0.0,0.0,1.52997510988,7.4902,3.93196533766,0.0,3.33988,0.592085337657
 01/04  06:00:00,22.5270581838,3.81997498414,0.0,0.0,4.58992532963,8.1892,63.5278262915,55.1581262915,8.3497,0.02
 01/04  07:00:00,38.4940040982,3.81997498414,0.017530841203,0.0,9.17985065927,19.4245,71.3757080231,50.6401654716,16.6994,4.03614255151
 01/04  08:00:00,42.7942092199,3.81997498414,0.0226943992009,0.0,9.17985065927,26.9147,81.1044941534,42.1369146395,25.0491,13.9184795139
 01/04  09:00:00,41.7366126861,3.81997498414,0.00497229359824,0.0,9.17985065927,26.9147,85.3477449691,39.777367144,33.3988,12.1715778251
 01/04  10:00:00,34.2484798592,3.81997498414,0.0,0.0,9.17985065927,19.4245,75.3735626476,39.9104941618,25.0491,10.4139684858
 01/04  11:00:00,41.748960011,3.81997498414,0.0107749532649,0.0,9.17985065927,26.9147,92.0319155494,41.0316700689,41.7485,9.25174548052
 01/04  12:00:00,42.4698702032,3.81997498414,0.0,0.0,9.17985065927,26.9147,85.6864604135,33.5226479825,41.7485,10.415312431
 01/04  13:00:00,41.7932096796,3.81997498414,0.0,0.0,9.17985065927,26.9147,76.5157860485,24.9399272238,41.7485,9.82735882473
 01/04  14:00:00,34.274893472,3.81997498414,0.0,0.0,9.17985065927,19.4245,68.6324796405,27.1475297316,33.3988,8.08614990893
 01/04  15:00:00,34.277587233,3.81997498414,0.0,0.0,9.17985065927,19.4245,64.1471253083,32.1729807767,25.0491,6.92504453166
 01/04  16:00:00,34.2637537649,3.81997498414,0.0,0.0,9.17985065927,19.4245,77.6196479709,37.2946807515,33.3988,6.92616721938
 01/04  17:00:00,42.7558905547,3.81997498414,0.0126893388019,0.0,9.17985065927,26.9147,92.8517369448,35.8269382229,50.0982,6.92659872192
 01/04  18:00:00,45.9318834719,3.81997498414,0.0,0.0,9.17985065927,26.9147,89.7440869548,30.3952295662,50.0982,9.2506573886
 01/04  19:00:00,45.9474092649,3.81997498414,0.00541786055285,0.0,9.17985065927,26.9147,85.1594876876,22.3105109931,50.0982,12.7507766945
 01/04  20:00:00,38.5880154039,3.81997498414,0.0,0.0,9.17985065927,19.4245,70.8241028563,23.5015246988,33.3988,13.9237781575
 01/04  21:00:00,38.567478743,3.81997498414,0.0,0.0,9.17985065927,19.4245,69.4243601574,24.4455655244,33.3988,11.579994633
 01/04  22:00:00,38.4924236326,3.81997498414,0.0,0.0,9.17985065927,19.4245,69.0376103983,31.2368550099,25.0491,12.7516553883
 01/04  23:00:00,38.3829960563,3.81997498414,0.0,0.0,9.17985065927,19.4245,61.91242444,34.7993389283,16.6994,10.4136855117
 01/04  24:00:00,39.149159385,3.81997498414,0.0,0.0,9.17985065927,19.4245,52.4203846959,38.3006091862,8.3497,5.7700755097
 01/05  01:00:00,22.4286553719,3.81997498414,0.0,0.0,4.58992532963,8.1892,53.8240083415,45.868967148,3.33988,4.6151611935
 01/05  02:00:00,14.7754757485,0.0,0.0,0.0,1.52997510988,7.4902,3.93196505561,0.0,3.33988,0.59208505561
 01/05  03:00:00,14.7923363728,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/05  04:00:00,14.8008783101,0.0,0.0,0.0,1.52997510988,7.4902,3.93194511345,0.0,3.33988,0.592065113453
 01/05  05:00:00,14.9550529194,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/05  06:00:00,22.5381283375,3.81997498414,0.0,0.0,4.58992532963,8.1892,60.1369537038,51.1951826777,8.3497,0.592071026118
 01/05  07:00:00,38.5062988453,3.81997498414,0.0179748371909,0.0,9.17985065927,19.4245,66.0076178909,45.8456686036,16.6994,3.46254928737
 01/05  08:00:00,42.8040627113,3.81997498414,0.0230351548841,0.0,9.17985065927,26.9147,77.6266852595,38.6568495803,25.0491,13.9207356792
 01/05  09:00:00,41.7429759375,3.81997498414,0.00497907169454,0.0,9.17985065927,26.9147,83.487410265,37.3388901768,33.3988,12.7497200882
 01/05  10:00:00,34.2584857227,3.81997498414,0.0,0.0,9.17985065927,19.4245,71.4319756436,35.9694599148,25.0491,10.4134157287
 01/05  11:00:00,41.756459882,3.81997498414,0.0108144999144,0.0,9.17985065927,26.9147,88.4256250533,37.4313215026,41.7485,9.2458035507
 01/05  12:00:00,42.4755270484,3.81997498414,0.0,0.0,9.17985065927,26.9147,81.5155745636,29.3537227742,41.7485,10.4133517894
 01/05  13:00:00,41.8057902393,3.81997498414,0.0,0.0,9.17985065927,26.9147,70.8484444441,19.852557538,41.7485,9.24738690607
 01/05  14:00:00,34.2922323085,3.81997498414,0.0,0.0,9.17985065927,19.4245,61.2292972528,19.7437650656,33.3988,8.08673218711
 01/05  15:00:00,34.2985485368,3.81997498414,0.0,0.0,9.17985065927,19.4245,55.6353165403,23.6596188236,25.0491,6.9265977166
 01/05  16:00:00,34.2849636178,3.81997498414,0.0,0.0,9.17985065927,19.4245,69.1622057678,28.8365753297,33.3988,6.92683043814
 01/05  17:00:00,42.7691872139,3.81997498414,0.0129891659499,0.0,9.17985065927,26.9147,88.0686328336,30.4666639378,50.0982,7.50376889585
