Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,168.117054451,30.6607650491,44.5226526499,0.0,34.4311606118,33.1021868926,138.169503832,26.4941396938,3.33212,108.343244138
 01/01  02:00:00,161.384394765,30.6607650491,37.7762935945,0.0,34.4311606118,33.1021868926,109.032969733,25.1302079098,3.33212,80.5706418235
 01/01  03:00:00,140.432142365,30.6607650491,34.3221206493,0.0,19.466279405,30.610668775,108.252899285,24.3485301977,3.33212,80.5722490873
 01/01  04:00:00,139.025991249,30.6607650491,32.9241347602,0.0,19.466279405,30.610668775,107.798071618,23.8912265148,3.33212,80.5747251027
 01/01  05:00:00,147.482819445,30.6607650491,34.800263383,0.0,19.466279405,30.610668775,135.085639173,23.5418957774,3.33212,108.211623396
 01/01  06:00:00,161.726281017,30.6607650491,36.8070022332,0.0,19.466279405,30.610668775,169.479934602,23.4186601219,8.3303,137.73097448
 01/01  07:00:00,244.405843227,33.1996319072,45.4743498883,0.0,42.6918050922,54.3732441037,228.0229163,22.8767023953,16.6606,188.485613905
 01/01  08:00:00,312.097193691,35.347903864,68.2790306229,0.0,49.3960418185,88.5934452969,459.197001849,114.565408791,24.9909,319.640693058
 01/01  09:00:00,364.520905333,35.347903864,94.403753066,0.0,57.6566862989,112.030105488,608.787627336,121.81798553,33.3212,453.648441806
 01/01  10:00:00,289.811477756,35.5641925602,75.6805746477,0.0,50.9524495726,81.1684271793,513.643580196,114.891416402,66.8089,331.943263794
 01/01  11:00:00,224.079561476,35.6744677791,54.9243119895,0.0,42.6918050922,68.9656133826,453.920191461,119.697643601,83.4695,250.75304786
 01/01  12:00:00,212.878384422,35.7265030669,47.4539034442,0.0,38.286128036,68.9656133826,411.470905188,126.446686175,83.4695,201.554719013
 01/01  13:00:00,206.487490827,35.8121493358,41.8095040434,0.0,38.286128036,68.9656133826,357.331973886,127.82135957,83.4695,146.041114316
 01/01  14:00:00,186.824538718,35.880214321,41.0222020124,0.0,31.5818913096,56.727595265,351.06009018,129.897967488,75.1392,146.022922693
 01/01  15:00:00,186.73079179,35.9408185763,40.8684264769,0.0,31.5818913096,56.727595265,345.092032624,132.608317987,66.8089,145.674814637
 01/01  16:00:00,186.199750909,35.9902020696,40.2987580529,0.0,31.5818913096,56.727595265,347.726166751,132.358171069,75.1392,140.228795681
 01/01  17:00:00,219.846219879,35.7356612925,39.367341714,0.0,31.5818913096,61.661095265,333.849997451,128.369404491,91.7998,113.68079296
 01/01  18:00:00,266.454432088,35.347903864,47.4482624426,0.0,31.5818913096,70.9729253606,312.93217482,126.555266192,49.9818,136.395108628
 01/01  19:00:00,339.606151877,35.347903864,58.8583225995,0.0,80.3315023541,83.7685254822,337.956300482,123.609488709,49.9818,164.365011773
 01/01  20:00:00,356.290596424,35.347903864,71.5800429235,0.0,102.000620287,77.6748002752,366.164593635,117.024675481,33.3212,215.818718153
 01/01  21:00:00,385.093165543,35.347903864,79.8438711996,0.0,108.704857014,91.4735406516,362.104373024,113.536666981,33.3212,215.246506044
 01/01  22:00:00,358.422739248,35.347903864,81.3333804696,0.0,95.2963835608,89.1510273009,353.628791055,112.814717239,24.9909,215.823173816
 01/01  23:00:00,304.401973292,35.347903864,80.4966992271,0.0,80.3315023541,63.3799339444,451.969559805,116.62973758,16.6606,318.679222225
 01/01  24:00:00,218.000503725,35.347903864,58.5296021233,0.0,42.6918050922,48.4199368926,313.793953933,123.199520045,8.3303,182.264133888
 01/02  01:00:00,157.171659456,30.6607650491,45.006133103,0.0,25.5240853573,30.610668775,135.97436162,26.4308665914,3.33212,106.211375029
 01/02  02:00:00,142.762833203,30.6607650491,37.9485452221,0.0,19.418418834,29.3649097162,108.8100663,24.9910208349,3.33212,80.486925465
 01/02  03:00:00,132.696993661,30.6607650491,35.8000303794,0.0,12.7620426787,28.1191506574,107.765317122,23.9440358703,3.33212,80.4891612514
 01/02  04:00:00,131.319866075,30.6607650491,34.4337128454,0.0,12.7620426787,28.1191506574,107.108599959,23.2852616021,3.33212,80.4912183568
 01/02  05:00:00,138.371326226,30.6607650491,34.9165802631,0.0,12.7620426787,28.1191506574,134.72847176,23.1703863708,3.33212,108.225965389
 01/02  06:00:00,173.776015561,30.6607650491,42.7142522383,0.0,25.5240853573,30.610668775,218.649883911,23.0396747275,8.3303,187.279909184
