Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,69.5068623345,20.0855674328,14.6243770092,0.0967583049707,4.12243109448,15.9888894789,91.5934693348,88.601738917,2.97173041782,0.02
 01/02  02:00:00,65.8333698301,18.0932311299,12.042192648,1.06219385397,4.12243109448,15.9888894789,80.0938367191,77.1021063012,2.97173041782,0.02
 01/02  03:00:00,74.3884763592,22.816996792,14.8018473036,2.02653453859,4.12243109448,15.9888894789,100.426856102,97.4351256841,2.97173041782,0.02
 01/02  04:00:00,64.2451709666,17.6121322189,11.3972395289,0.586533371902,4.12243109448,15.9888894789,81.4812099571,78.4894795393,2.97173041782,0.02
 01/02  05:00:00,98.9760894903,27.8080396269,15.912674015,3.13843894587,12.3672932834,24.9413748627,115.267898997,110.295014967,4.9528840297,0.02
 01/02  06:00:00,118.73347561,27.6100344048,18.2593850907,20.8162653299,12.3672932834,24.9413748627,184.267761737,179.294877707,4.9528840297,0.02
 01/02  07:00:00,177.539550615,28.4795510485,19.22845529,19.638272503,24.7345865669,70.7195625826,149.364498441,139.438730381,9.90576805939,0.02
 01/02  08:00:00,198.014711547,28.6536905188,20.9127685256,13.6093912106,37.1018798503,92.3937384068,129.649534182,119.723766122,9.90576805939,0.02
 01/02  09:00:00,204.377035995,28.7187796205,21.4771346138,11.9973493202,37.1018798503,104.434947198,124.042904308,114.117136248,9.90576805939,0.02
 01/02  10:00:00,215.519102238,28.757893899,21.8111509586,10.7246291027,37.1018798503,116.476155989,129.529976826,111.000195743,9.90576805939,8.6240130237
 01/02  11:00:00,215.135238222,28.8054474611,22.6890699425,9.41477222293,37.1018798503,116.476155989,118.342660484,108.416892425,9.90576805939,0.02
 01/02  12:00:00,214.676970945,28.8578111627,23.4183125033,8.17465557483,37.1018798503,116.476155989,115.892222142,105.966454083,9.90576805939,0.02
 01/02  13:00:00,201.989042075,28.9058399532,23.8293098992,7.0694502902,37.1018798503,104.434947198,122.418284428,103.887060205,9.90576805939,8.62545616404
 01/02  14:00:00,213.609485943,28.9519742082,24.3287663131,6.10259128285,37.1018798503,116.476155989,111.900979626,101.975211566,9.90576805939,0.02
 01/02  15:00:00,213.35934514,28.9901875817,24.8624370678,5.28069234563,37.1018798503,116.476155989,119.078077454,100.544289643,9.90576805939,8.62801975117
 01/02  16:00:00,213.249624896,29.0204546957,25.2971247563,4.70629809355,37.1018798503,116.476155989,109.371258837,99.445490778,9.90576805939,0.02
 01/02  17:00:00,215.327810967,29.0394921955,25.2643561258,4.44955623086,37.1018798503,116.476155989,108.597168621,98.6714005621,9.90576805939,0.02
 01/02  18:00:00,226.246683604,29.0476991958,24.4460192636,4.43379073281,37.1018798503,116.476155989,108.221161614,98.2953935542,9.90576805939,0.02
 01/02  19:00:00,135.054691669,27.1398466949,20.861437608,0.0,24.7345865669,47.5788473902,88.8198152188,75.2593286463,4.9528840297,8.60760254277
 01/02  20:00:00,134.97471402,27.5407624541,20.3805589532,0.0,24.7345865669,47.5788473902,85.496368949,80.5234849193,4.9528840297,0.02
 01/02  21:00:00,112.043352629,26.3380151765,19.9088850585,0.0,12.3672932834,38.6892022431,98.7205050811,95.7287746633,2.97173041782,0.02
 01/02  22:00:00,85.9345707183,18.4941468891,13.4328848038,0.0485700617086,12.3672932834,27.0668015668,72.2995380288,69.3078076109,2.97173041782,0.02
 01/02  23:00:00,72.2630324984,21.6142495144,15.9056853207,0.0,4.12243109448,15.9888894789,93.8069756708,90.815245253,2.97173041782,0.02
 01/02  24:00:00,66.2965237854,18.1734142818,12.9653171764,0.522040214374,4.12243109448,15.9888894789,77.6533679917,74.6616375738,2.97173041782,0.02
 01/03  01:00:00,74.164900674,22.5764473365,15.8587505524,0.986605070804,4.12243109448,15.9888894789,98.0447033109,95.052972893,2.97173041782,0.02
 01/03  02:00:00,64.6497914391,17.2913996115,12.7226396563,0.0,4.12243109448,15.9888894789,79.9871051443,76.9953747265,2.97173041782,0.02
 01/03  03:00:00,74.1194416912,22.6165389124,15.2641092916,1.49569572014,4.12243109448,15.9888894789,100.666706471,97.6749760534,2.97173041782,0.02
 01/03  04:00:00,66.9042717219,18.2936890095,12.0744595659,1.90037091599,4.12243109448,15.9888894789,81.6114111406,78.6196807228,2.97173041782,0.02
 01/03  05:00:00,99.211402974,27.433851585,17.5825119272,2.14724848886,12.3672932834,24.9413748627,114.180387157,109.207503127,4.9528840297,0.02
 01/03  06:00:00,120.739966353,27.6043398207,20.1411189603,20.9467165623,12.3672932834,24.9413748627,183.950558965,178.977674936,4.9528840297,0.02
 01/03  07:00:00,177.998397466,28.5021332083,20.1911708578,19.1118213471,24.7345865669,70.7195625826,149.154823546,139.229055486,9.90576805939,0.02
 01/03  08:00:00,197.224973639,28.6644085381,20.4944282608,13.2272648611,37.1018798503,92.3937384068,129.584027241,119.658259182,9.90576805939,0.02
 01/03  09:00:00,203.082979968,28.7280022224,20.4698267967,11.7013492018,37.1018798503,104.434947198,132.604213268,114.077174536,9.90576805939,8.62127067269
 01/03  10:00:00,214.145460084,28.7682852023,20.6066062534,10.5452149858,37.1018798503,116.476155989,120.967641363,111.041873303,9.90576805939,0.02
 01/03  11:00:00,213.589402761,28.8129263756,21.0762451007,9.47422515565,37.1018798503,116.476155989,118.583938891,108.658170832,9.90576805939,0.02
 01/03  12:00:00,212.872619013,28.8550442557,21.2573553875,8.53404274828,37.1018798503,116.476155989,125.152275357,106.617107144,9.90576805939,8.62940015367
 01/03  13:00:00,200.053641975,28.8910799478,21.2236227962,7.75452349581,37.1018798503,104.434947198,114.861478467,104.935710407,9.90576805939,0.02
 01/03  14:00:00,211.503668582,28.9245310241,21.2553596711,7.09755544018,37.1018798503,116.476155989,121.834914505,103.29973731,9.90576805939,8.6294091348
 01/03  15:00:00,211.035205362,28.9495233659,21.2625280025,6.5972088217,37.1018798503,116.476155989,112.083952821,102.158184762,9.90576805939,0.02
 01/03  16:00:00,210.815538946,28.9709040179,21.421686,6.19713941521,37.1018798503,116.476155989,111.032831032,101.107062973,9.90576805939,0.02
 01/03  17:00:00,212.919559179,28.982554888,21.3460553129,6.0165405125,37.1018798503,116.476155989,118.924155021,100.395437582,9.90576805939,8.62294937981
 01/03  18:00:00,224.436956934,28.9887907173,21.1601231927,5.96891760604,37.1018798503,116.476155989,109.901327678,99.9755596184,9.90576805939,0.02
 01/03  19:00:00,132.231514692,27.1398466949,18.0382693349,0.0,24.7345865669,47.5788473902,81.7575297606,76.7846457309,4.9528840297,0.02
 01/03  20:00:00,132.176632627,27.5407624541,17.5824667658,0.0,24.7345865669,47.5788473902,86.9189690239,81.9460849942,4.9528840297,0.02
 01/03  21:00:00,109.701004271,26.3380151765,17.5515583055,0.0149607679098,12.3672932834,38.6892022431,99.93927305,96.9475426322,2.97173041782,0.02
 01/03  22:00:00,88.3987279892,20.2232868503,13.7681279758,0.405394956149,12.3672932834,27.0668015668,82.0536758523,79.0619454345,2.97173041782,0.02
 01/03  23:00:00,63.8907484025,17.2913996115,11.9635955657,0.0,4.12243109448,15.9888894789,76.4777309848,73.486000567,2.97173041782,0.02
 01/03  24:00:00,73.0337577147,22.4962641846,14.8779142647,0.916480450726,4.12243109448,15.9888894789,97.1392598679,94.1475294501,2.97173041782,0.02
 01/04  01:00:00,65.7658873774,18.0932311299,11.7864591438,1.25044381938,4.12243109448,15.9888894789,79.654120939,76.6623905212,2.97173041782,0.02
 01/04  02:00:00,72.4219724852,22.0151652736,14.9276897192,0.736018679056,4.12243109448,15.9888894789,108.142537662,96.5690220339,2.97173041782,8.60178521019
 01/04  03:00:00,66.9455935692,18.3337805854,11.8607621276,2.11529771966,4.12243109448,15.9888894789,81.3975757266,78.4058453088,2.97173041782,0.02
 01/04  04:00:00,73.9303289137,22.4962641846,14.5691707394,2.12179538246,4.12243109448,15.9888894789,102.100142672,99.1084122539,2.97173041782,0.02
 01/04  05:00:00,97.648467887,27.0062081085,16.7462443195,1.84822379719,12.3672932834,24.9413748627,114.703141352,109.730257323,4.9528840297,0.02
 01/04  06:00:00,126.593062343,28.0186389979,19.7395315408,26.7871002174,12.3672932834,24.9413748627,184.252298645,179.279414616,4.9528840297,0.02
 01/04  07:00:00,178.81157465,28.4768071922,20.1828476089,19.9586473251,24.7345865669,70.7195625826,149.593087993,139.667319934,9.90576805939,0.02
 01/04  08:00:00,198.055366462,28.6416973301,20.496710262,14.0780902315,37.1018798503,92.3937384068,129.984207981,120.058439922,9.90576805939,0.02
 01/04  09:00:00,204.263350853,28.7085301418,20.9626377216,12.4084093461,37.1018798503,104.434947198,124.291380035,114.365611976,9.90576805939,0.02
 01/04  10:00:00,215.588669885,28.7465170324,21.4118093532,11.2049184627,37.1018798503,116.476155989,121.256393635,111.330625576,9.90576805939,0.02
 01/04  11:00:00,214.904095844,28.7799693997,21.8359429601,10.0622241393,37.1018798503,116.476155989,127.398358232,108.864459668,9.90576805939,8.62813050417
 01/04  12:00:00,213.937597085,28.8224706423,21.8449095373,9.04402987306,37.1018798503,116.476155989,116.705276013,106.779507953,9.90576805939,0.02
 01/04  13:00:00,201.196223965,28.8637613628,22.0091239131,8.13888682159,37.1018798503,104.434947198,123.53476456,105.003432004,9.90576805939,8.62556449625
 01/04  14:00:00,212.768620423,28.9044974559,22.3284265082,7.30954527045,37.1018798503,116.476155989,113.07184251,103.146074451,9.90576805939,0.02
 01/04  15:00:00,212.515094406,28.9377074262,22.7716369522,6.57972265304,37.1018798503,116.476155989,120.350539713,101.816715626,9.90576805939,8.62805602688
 01/04  16:00:00,212.203944757,28.9612055853,22.8935772786,6.12340701615,37.1018798503,116.476155989,110.721200537,100.795432478,9.90576805939,0.02
 01/04  17:00:00,214.328577904,28.9755338341,22.8666650995,5.91197571655,37.1018798503,116.476155989,110.048009263,100.122241204,9.90576805939,0.02
 01/04  18:00:00,226.033843744,28.9843731867,22.9299461692,5.8003522366,37.1018798503,116.476155989,109.61255366,99.686785601,9.90576805939,0.02
 01/04  19:00:00,134.444885963,27.1398466949,20.2516262673,0.0,24.7345865669,47.5788473902,89.9335074089,76.3730154876,4.9528840297,8.60760789166
 01/04  20:00:00,134.335047227,27.5407624541,19.7408896664,0.0,24.7345865669,47.5788473902,86.4453725289,81.4724884992,4.9528840297,0.02
 01/04  21:00:00,111.308400683,26.3380151765,19.1708518843,0.00308095274289,12.3672932834,38.6892022431,99.4985844131,96.5068539953,2.97173041782,0.02
 01/04  22:00:00,89.3587187391,20.2232868503,14.866076023,0.267448894233,12.3672932834,27.0668015668,81.8163753352,78.8246449174,2.97173041782,0.02
 01/04  23:00:00,65.0696284711,17.2913996115,13.1424767939,0.0,4.12243109448,15.9888894789,76.2031099405,73.2113795227,2.97173041782,0.02
 01/04  24:00:00,75.2182038859,22.816996792,16.5025860617,1.15552338272,4.12243109448,15.9888894789,96.7567858667,93.7650554488,2.97173041782,0.02
 01/05  01:00:00,65.4619962164,17.531949067,13.1243885432,0.169906492454,4.12243109448,15.9888894789,79.406728875,76.4149984572,2.97173041782,0.02
 01/05  02:00:00,74.3159973412,22.4160810328,15.9201090149,1.23670958855,4.12243109448,15.9888894789,99.6754526596,96.6837222418,2.97173041782,0.02
 01/05  03:00:00,67.0010020592,18.4139637373,11.8291693029,2.12211685475,4.12243109448,15.9888894789,81.3664504472,78.3747200293,2.97173041782,0.02
 01/05  04:00:00,71.290571048,21.814707394,14.3581977095,0.37456818222,4.12243109448,15.9888894789,102.230321732,99.2385913141,2.97173041782,0.02
 01/05  05:00:00,100.339811323,27.8080396269,17.1365293016,3.34745145807,12.3672932834,24.9413748627,114.472715052,109.499831023,4.9528840297,0.02
 01/05  06:00:00,121.453433777,27.6102667571,20.5908517861,21.2045242617,12.3672932834,24.9413748627,184.151211452,179.178327423,4.9528840297,0.02
 01/05  07:00:00,179.76125548,28.4804479654,21.2154455279,19.8720899722,24.7345865669,70.7195625826,149.258524592,139.332756533,9.90576805939,0.02
 01/05  08:00:00,198.519881964,28.6511453059,21.2614568681,13.7684085593,37.1018798503,92.3937384068,129.579170277,119.653402218,9.90576805939,0.02
 01/05  09:00:00,204.433607038,28.7182841113,21.522626681,12.0088866917,37.1018798503,104.434947198,132.50673247,113.979652731,9.90576805939,8.6213116793
 01/05  10:00:00,215.627764391,28.7584277167,22.0022261359,10.6417570073,37.1018798503,116.476155989,120.71278431,110.78701625,9.90576805939,0.02
 01/05  11:00:00,214.500760345,28.8038120121,22.0789711285,9.39197483044,37.1018798503,116.476155989,118.185138933,108.259370873,9.90576805939,0.02
 01/05  12:00:00,213.795516666,28.8524317373,22.4339648579,8.28293402029,37.1018798503,116.476155989,124.580422773,106.045211432,9.90576805939,8.62944328136
 01/05  13:00:00,201.209757631,28.9022723141,22.9875961513,7.13547623552,37.1018798503,104.434947198,113.875962119,103.950194059,9.90576805939,0.02
 01/05  14:00:00,212.031047307,28.9746447892,23.4579500116,5.37222470722,37.1018798503,116.476155989,119.136685056,100.601463139,9.90576805939,8.62945385731
 01/05  15:00:00,211.742373402,29.0211307086,24.2717518782,4.22354496371,37.1018798503,116.476155989,108.505556101,98.579788042,9.90576805939,0.02
 01/05  16:00:00,211.44312191,29.0487265553,24.5468584936,3.62173051248,37.1018798503,116.476155989,107.531251094,97.6054830344,9.90576805939,0.02
 01/05  17:00:00,212.762569328,29.0619941866,23.6842504942,3.44190748148,37.1018798503,116.476155989,115.448168131,96.9194212952,9.90576805939,8.62297877657
 01/05  18:00:00,223.626517219,29.0484950928,22.2909120083,3.96798539901,37.1018798503,116.476155989,107.708586565,97.7828185058,9.90576805939,0.02
 01/05  19:00:00,131.91845685,27.1398466949,17.7252121488,0.0,24.7345865669,47.5788473902,80.3671369482,75.3942529185,4.9528840297,0.02
 01/05  20:00:00,131.124452112,27.5407624541,16.5302869529,0.0,24.7345865669,47.5788473902,86.3358065994,81.3629225697,4.9528840297,0.02
 01/05  21:00:00,107.624767142,26.3380151765,15.15878933,0.00185138757957,12.3672932834,38.6892022431,100.048146518,97.0564161006,2.97173041782,0.02
 01/05  22:00:00,89.649163478,21.0878568309,11.8718511392,0.336525329956,12.3672932834,27.0668015668,84.5372386247,81.5455082069,2.97173041782,0.02
 01/05  23:00:00,64.9828840293,17.2913996115,10.2402321561,0.0,4.12243109448,15.9888894789,76.8291692393,73.8374388215,2.97173041782,0.02
 01/05  24:00:00,76.3199910661,22.5764473365,12.9996710469,1.24733069575,4.12243109448,15.9888894789,97.6695081313,94.6777777135,2.97173041782,0.02
 01/06  01:00:00,69.0965918627,18.0932311299,10.447987348,1.62625471342,4.12243109448,15.9888894789,80.0508095605,77.0590791427,2.97173041782,0.02
 01/06  02:00:00,81.7138673959,23.2179125512,12.7393155677,4.0315041549,4.12243109448,15.9888894789,108.711438367,97.1379263709,2.97173041782,8.60178157845
 01/06  03:00:00,74.5239913304,18.8950626483,9.56678518034,5.0865593946,4.12243109448,15.9888894789,81.6353917282,78.6436613104,2.97173041782,0.02
 01/06  04:00:00,87.1668412038,23.6188283104,11.8661718007,7.71979956383,4.12243109448,15.9888894789,102.652561235,99.6608308176,2.97173041782,0.02
 01/06  05:00:00,107.645077767,27.5407624541,13.6909998901,4.96171311305,12.3672932834,24.9413748627,115.735464863,110.762580833,4.9528840297,0.02
 01/06  06:00:00,139.48301033,27.9782165215,17.264706011,34.0042109411,12.3672932834,24.9413748627,185.500298713,180.527414683,4.9528840297,0.02
 01/06  07:00:00,188.321849794,28.4299275562,17.761553095,24.7050078301,24.7345865669,70.7195625826,152.377176978,142.451408919,9.90576805939,0.02
 01/06  08:00:00,203.833368804,28.5375467744,17.7745557896,17.2808417424,37.1018798503,92.3937384068,131.074998853,121.149230794,9.90576805939,0.02
 01/06  09:00:00,205.702308848,28.6045364943,18.9364703233,12.7393463419,37.1018798503,104.434947198,123.195229242,113.269461183,9.90576805939,0.02
 01/06  10:00:00,212.965634845,28.7001755109,20.6392139934,8.63709350644,37.1018798503,116.476155989,116.837886503,106.912118443,9.90576805939,0.02
 01/06  11:00:00,212.034631823,28.8118508309,22.4179815315,6.57883129559,37.1018798503,116.476155989,119.967975439,101.435184362,9.90576805939,8.62702301758
 01/06  12:00:00,213.378031331,29.0170705528,24.970790102,5.16398658026,37.1018798503,116.476155989,106.762627977,96.8368599172,9.90576805939,0.02
 01/06  13:00:00,203.808195504,29.294317656,28.4757564344,3.85366283719,37.1018798503,104.434947198,111.920114389,93.3888202466,9.90576805939,8.62552608273
 01/06  14:00:00,217.296858658,29.5236345432,30.6421279043,2.90494590116,37.1018798503,116.476155989,100.556993251,90.6312251916,9.90576805939,0.02
 01/06  15:00:00,218.157968514,29.6273834213,32.2506093926,2.05395035435,37.1018798503,116.476155989,99.0928014057,89.1670333463,9.90576805939,0.02
 01/06  16:00:00,218.358047047,29.5703631388,32.9702957501,1.59162570304,37.1018798503,116.476155989,107.872670981,89.3401655927,9.90576805939,8.6267373285
 01/06  17:00:00,215.62236295,29.4051144974,28.1814268733,1.46142023179,37.1018798503,116.476155989,100.74937682,90.8236087607,9.90576805939,0.02
