Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4525818342,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.4471248225,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.4433667334,0.0,0.0,0.0,15.863942322,29.242365,6.08814234643,0.0,3.20568,2.88246234643
 01/01  04:00:00,55.4403071845,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6537749881,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.6356833245,0.0,0.0,0.0,15.863942322,29.242365,6.08811258381,0.0,3.20568,2.88243258381
 01/01  07:00:00,55.6468309731,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,49.8666408652,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.0119763866,0.0,0.0,0.0,15.863942322,29.242365,6.08942207987,0.0,3.20568,2.88374207987
 01/01  10:00:00,47.0275967834,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.019137245,0.0,0.0,0.0,15.863942322,29.242365,6.08931621767,0.0,3.20568,2.88363621767
 01/01  12:00:00,47.7102595416,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.0062205204,0.0,0.0,0.0,15.863942322,29.242365,6.08941071849,0.0,3.20568,2.88373071849
 01/01  14:00:00,47.0493697684,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.065910359,0.0,0.0,0.0,15.863942322,29.242365,6.08809845846,0.0,3.20568,2.88241845846
 01/01  16:00:00,47.0569011962,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,49.8182976585,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.5345900087,0.0,0.0,0.0,15.863942322,29.242365,6.08806884879,0.0,3.20568,2.88238884879
 01/01  19:00:00,55.5347120575,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.7456200339,0.0,0.0,0.0,15.863942322,29.242365,6.08803923503,0.0,3.20568,2.88235923503
 01/01  21:00:00,55.7288314961,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  22:00:00,55.6146983495,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.4601915994,0.0,0.0,0.0,15.863942322,29.242365,6.08814356784,0.0,3.20568,2.88246356784
 01/01  24:00:00,56.1624371406,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.4600698535,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.4573345949,0.0,0.0,0.0,15.863942322,29.242365,6.08931797172,0.0,3.20568,2.88363797172
 01/02  03:00:00,55.4547417203,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.4495827089,0.0,0.0,0.0,15.863942322,29.242365,6.08941367468,0.0,3.20568,2.88373367468
 01/02  05:00:00,55.6541168215,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  06:00:00,55.6322603169,0.0,0.0,0.0,15.863942322,29.242365,6.08950923949,0.0,3.20568,2.88382923949
 01/02  07:00:00,63.2984514033,6.47288475479,0.00395169161963,0.0,15.863942322,29.818365,281.149651648,275.060247263,3.20568,2.88372438432
 01/02  08:00:00,122.192155938,6.47288475479,0.00132518382268,0.0,80.527626,29.818365,227.570632996,224.344952996,3.20568,0.02
 01/02  09:00:00,164.548938585,6.47288475479,0.00586959383938,0.0,80.527626,75.0917375,168.439632932,135.726916595,24.0426,8.6701163375
 01/02  10:00:00,164.572611563,6.47288475479,0.00359889194767,0.0,80.527626,75.0917375,148.964670007,107.500297428,24.0426,17.4217725789
 01/02  11:00:00,168.562938795,6.47288475479,0.00216359419823,0.0,80.527626,79.0911225,137.701280159,91.1107547638,32.0568,14.5337253949
