Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5633613311,2.10736888929,0.0,0.0,1.85583932782,5.577,26.9530013845,22.2132795674,3.0011,1.73862181713
 01/01  02:00:00,9.59024831956,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.6155959321,0.0,0.0,0.0,0.618613109274,5.0,3.59317848779,0.0,3.0011,0.592078487791
 01/01  04:00:00,9.62727004416,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.77838863221,0.0,0.0,0.0,0.618613109274,5.0,3.59318438099,0.0,3.0011,0.59208438099
 01/01  06:00:00,13.7016300854,2.10736888929,0.0,0.0,1.85583932782,5.577,31.8179997157,27.2963497157,4.50165,0.02
 01/01  07:00:00,28.1699911579,2.10736888929,0.0,0.0,3.71167865564,18.077,36.5456709347,21.8757014617,13.50495,1.16501947305
 01/01  08:00:00,26.2312660963,2.10736888929,0.0,0.0,3.71167865564,18.077,41.3180007711,18.5726427206,21.0077,1.73765805046
 01/01  09:00:00,20.6023902953,2.10736888929,0.0,0.0,3.71167865564,13.077,35.3653542577,19.1948345357,15.0055,1.16501972198
 01/01  10:00:00,20.6141726859,2.10736888929,0.0,0.0,3.71167865564,13.077,34.8534756588,18.68274864,15.0055,1.16522701883
 01/01  11:00:00,25.6148288798,2.10736888929,0.0,0.0,3.71167865564,18.077,51.8337522739,15.3594834605,33.0121,3.46216881334
 01/01  12:00:00,26.7398379612,2.10736888929,0.0,0.0,3.71167865564,18.077,57.3914805996,12.8405616596,40.51485,4.03606893999
 01/01  13:00:00,25.8457979345,2.10736888929,0.0,0.0,3.71167865564,18.077,48.8623266204,9.96247327288,36.0132,2.88665334752
