Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,121.121111887,3.55542344694,0.0,0.0,43.513341876,52.539744,26.4012587044,21.5469987044,4.83426,0.02
 01/01  02:00:00,121.265239391,3.70844131028,0.0,0.0,43.513341876,52.539744,28.2928309561,23.4385709561,4.83426,0.02
 01/01  03:00:00,121.779811378,4.2254778281,0.0,0.0,43.513341876,52.539744,33.3904206408,28.5361606408,4.83426,0.02
 01/01  04:00:00,121.204046154,3.65648315748,0.0,0.0,43.513341876,52.539744,31.8818739531,27.0276139531,4.83426,0.02
 01/01  05:00:00,122.257903902,4.27743598091,0.0,0.0,43.513341876,52.539744,37.4959872332,32.6417272332,4.83426,0.02
 01/01  06:00:00,121.599103724,3.65648315748,0.0,0.0,43.513341876,52.539744,35.1716606385,30.3174006385,4.83426,0.02
 01/01  07:00:00,122.353618724,4.38135228653,0.0,0.0,43.513341876,52.539744,51.2380802197,37.7934270109,4.83426,8.61039320884
 01/01  08:00:00,109.433618308,3.55256685186,0.0,0.0,43.513341876,52.539744,31.2952990827,26.4410390827,4.83426,0.02
 01/01  09:00:00,104.14255454,4.2254778281,0.0,0.0,43.513341876,52.539744,34.9997675963,30.1455075963,4.83426,0.02
 01/01  10:00:00,103.496000732,3.55256685186,0.0,0.0,43.513341876,52.539744,29.3826905848,24.5284305848,4.83426,0.02
 01/01  11:00:00,102.975011754,3.0536308248,0.0,0.0,43.513341876,52.539744,23.8249018814,18.9706418814,4.83426,0.02
 01/01  12:00:00,104.003051915,3.19711798261,0.0,0.0,43.513341876,52.539744,31.2078787601,17.7571739902,4.83426,8.61644476987
 01/01  13:00:00,102.231872501,2.34655060169,0.0,0.0,43.513341876,52.539744,14.5126332954,9.65837329536,4.83426,0.02
 01/01  14:00:00,100.562289109,0.598723232476,0.0,0.0,43.513341876,52.539744,7.41296165118,2.55870165118,4.83426,0.02
 01/01  15:00:00,100.626012113,0.63179354961,0.0,0.0,43.513341876,52.539744,7.58580143907,2.73154143907,4.83426,0.02
 01/01  16:00:00,99.972123767,0.0,0.0,0.0,43.513341876,52.539744,13.4446659803,0.0,4.83426,8.61040598026
 01/01  17:00:00,107.571246936,1.81330926787,0.0,0.0,43.513341876,52.539744,10.9748624773,6.12060247728,4.83426,0.02
 01/01  18:00:00,119.521644167,1.81330926787,0.0,0.0,43.513341876,52.539744,11.5690765642,6.71481656419,4.83426,0.02
 01/01  19:00:00,119.628644832,1.91997205437,0.0,0.0,43.513341876,52.539744,11.5143469008,6.66008690085,4.83426,0.02
 01/01  20:00:00,120.569134123,2.43680710157,0.0,0.0,43.513341876,52.539744,13.3722831859,8.51802318586,4.83426,0.02
 01/01  21:00:00,120.848883645,2.74855601841,0.0,0.0,43.513341876,52.539744,14.5305235564,9.67626355643,4.83426,0.02
 01/01  22:00:00,120.32421426,2.4463378071,0.0,0.0,43.513341876,52.539744,15.7326968259,10.8784368259,4.83426,0.02
 01/01  23:00:00,121.242267676,3.66474135788,0.0,0.0,43.513341876,52.539744,32.1323822557,18.6876871245,4.83426,8.61043513129
 01/01  24:00:00,122.151570432,3.66474135788,0.0,0.0,43.513341876,52.539744,23.8771863734,19.0229263734,4.83426,0.02
 01/02  01:00:00,121.245446014,3.66474135788,0.0,0.0,43.513341876,52.539744,24.6666438069,19.8123838069,4.83426,0.02
 01/02  02:00:00,120.92861344,3.35299244104,0.0,0.0,43.513341876,52.539744,25.0362474116,20.1819874116,4.83426,0.02
 01/02  03:00:00,121.532470567,3.95742886366,0.0,0.0,43.513341876,52.539744,38.385932698,24.9352927324,4.83426,8.61637996556
