Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.1680620746,5.28679477287,1.31526687729,0.0,12.925468867,10.100111941,18.7414071691,18.7214071691,0.0,0.02
 01/01  02:00:00,36.9831628589,5.26174024947,1.13157403391,0.0249453577951,12.925468867,10.100111941,25.4306837281,19.6749193948,0.0,5.75576433331
 01/01  03:00:00,32.0785019907,5.22188184858,0.819892857839,0.0908679681314,8.34152022915,10.0650221343,20.4935397244,20.4735397244,0.0,0.02
 01/01  04:00:00,32.0160039113,5.2088679146,0.675419927545,0.185848534988,8.34152022915,10.0650221343,26.7806019709,21.0248875308,0.0,5.75571444019
 01/01  05:00:00,33.616885956,5.20342009483,0.588957061128,0.272044129649,8.34152022915,11.6705166398,21.3023727847,21.2823727847,0.0,0.02
 01/01  06:00:00,37.775987723,5.19808776121,0.493518305984,0.373621019516,8.80141237637,15.3678112995,27.2760653816,21.510049985,0.0,5.76601539663
 01/01  07:00:00,58.2476501076,5.26571114821,1.05933442183,0.235264982728,18.5082010057,25.6353820695,27.0296900976,21.253638728,0.0,5.77605136964
 01/01  08:00:00,70.3779674799,5.43601923645,2.41330066578,0.0385920421763,19.4926561212,41.1001056674,31.2972947218,19.7144575485,0.0,11.5828371733
 01/01  09:00:00,94.3500928398,5.68562213269,4.30108156331,0.0,26.3286599382,57.9988325916,44.9054995729,13.8195456744,0.0,31.0859538985
 01/01  10:00:00,77.5630713013,5.49091229618,2.98212312484,0.0,26.2443270014,42.8153538416,58.8109540254,13.1084566137,18.025,27.6774974116
 01/01  11:00:00,51.866283755,5.26669531054,1.31337383639,0.0707541257849,21.7447113004,23.4437158914,55.3244995942,13.905518616,18.025,23.3939809783
 01/01  12:00:00,49.2371483115,5.24862750996,1.06076406081,0.114309094533,19.3449162599,23.4437158914,49.5080072248,13.9639874856,18.025,17.5190197392
 01/01  13:00:00,49.383152519,5.24814480345,1.06271899096,0.116649013961,19.190480192,23.7425572507,48.8961937662,13.3882589283,18.025,17.4829348378
 01/01  14:00:00,49.3332627612,5.24514268212,1.01608967587,0.0902723712618,19.260583323,23.698576057,51.7958655259,10.464612282,18.025,23.3062532439
 01/01  15:00:00,49.3022890011,5.24269585709,1.01417356948,0.0636598365533,19.260583323,23.698576057,45.2685559285,9.75694094526,18.025,17.4866149832
 01/01  16:00:00,48.9649600148,5.23787315235,0.980328755397,0.0549463436334,19.260583323,23.4086260847,46.1015901585,10.5944593267,18.025,17.4821308318
 01/01  17:00:00,55.3126194013,5.2303035521,0.998100960046,0.057092743205,19.260583323,27.8781056672,34.2484960145,10.4626929639,18.025,5.76080305056
 01/01  18:00:00,70.4248607218,5.32311835797,1.79604657981,0.0041102369814,18.1807569449,37.5792895564,16.4284972755,10.6625678809,0.0,5.76592939455
 01/01  19:00:00,85.6101337282,5.47836134906,2.93661969038,0.0,32.6059821062,37.0465235296,18.7628890807,12.9918894779,0.0,5.77099960279
 01/01  20:00:00,86.6871784519,5.58674308521,3.67421712522,0.0,36.8143715336,33.066984531,19.4877698697,13.7066691751,0.0,5.78110069451
 01/01  21:00:00,93.1595181081,5.73666172374,4.63713638772,0.0,36.43363367,38.8072253906,20.8771990518,15.0969343949,0.0,5.78026465681
 01/01  22:00:00,90.843157326,5.75332083482,4.66082174255,0.0,36.0963922311,36.7877557581,27.0281686635,15.4859233107,0.0,11.5422453528
 01/01  23:00:00,67.643406447,5.51653467015,3.01802209958,0.0,30.9507766546,20.6087787026,27.8210685121,16.2385482164,0.0,11.5825202957
 01/01  24:00:00,43.6958855976,5.33173466249,1.68970338824,0.0,17.4250845679,11.7056064465,22.9136401622,17.137660645,0.0,5.77597951724
 01/02  01:00:00,35.8513632945,5.28671170043,1.31796082942,0.0,11.6412384099,10.0650221343,17.4272881097,17.4072881097,0.0,0.02
 01/02  02:00:00,34.0330993124,5.25227667852,1.07043113219,0.0243883152936,10.0992000411,10.047477231,23.9774914099,18.2215963925,0.0,5.7558950174
 01/02  03:00:00,32.0152438822,5.2294539794,0.885520397562,0.0738253517919,8.25718729233,10.0299323277,18.7855776552,18.7655776552,0.0,0.02
 01/02  04:00:00,31.9299707812,5.21504964481,0.746708691379,0.141768273732,8.25718729233,10.0299323277,25.6304951558,19.8745551758,0.0,5.75593998004
 01/02  05:00:00,33.5000712019,5.2039721508,0.594469161164,0.26858035496,8.25718729233,11.6354268332,27.4713768456,21.7106010201,0.0,5.76077582546
 01/02  06:00:00,41.207719201,5.21685148595,0.656209912574,0.321958942568,12.1011305571,15.3678112995,28.017980875,22.2419514464,0.0,5.77602942862
