Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly)
 01/01  01:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  02:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  03:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  04:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  05:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  06:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  07:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  08:00:00,6.460626015,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  09:00:00,19.33144812,11.09413169,0,0.826731071,3.820239494,3.59034587,136.2490871,136.2490871,,
 01/01  10:00:00,19.33144812,11.09413169,0,0.826731071,3.820239494,3.59034587,110.8745956,110.8745956,,
 01/01  11:00:00,34.31134356,11.09413169,0,0.755562155,15.28095798,7.18069174,92.37320389,92.37320389,,
 01/01  12:00:00,34.2258108,11.09413169,0,0.670029398,15.28095798,7.18069174,85.51816774,85.51816774,,
 01/01  13:00:00,44.16508582,11.09413169,0,0.575261519,22.92143696,9.574255654,68.59330208,68.59330208,,
 01/01  14:00:00,44.11949188,11.09413169,0,0.529667578,22.92143696,9.574255654,61.91578801,61.91578801,,
 01/01  15:00:00,44.09677824,11.09413169,0,0.50695394,22.92143696,9.574255654,57.31783057,57.31783057,,
 01/01  16:00:00,44.08452652,11.09413169,0,0.494702219,22.92143696,9.574255654,53.95775232,53.95775232,,
 01/01  17:00:00,46.84031602,11.09413169,0,0.495158378,22.92143696,9.574255654,52.57823476,52.57823476,,
 01/01  18:00:00,42.10912042,11.09413169,0,0.287339017,15.28095798,7.18069174,72.00844411,72.00844411,,
 01/01  19:00:00,32.11126764,11.09413169,0,0.323529135,7.640478988,4.787127827,79.64117894,79.64117894,,
 01/01  20:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  21:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  22:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  23:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/01  24:00:00,11.97129268,0,0,0,1.910119747,1.795172935,0,0,,
 01/02  01:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  02:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  03:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  04:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  05:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  06:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  07:00:00,24.49054642,11.09413169,0,0.826731071,1.910119747,2.393563913,127.7361611,127.7361611,,
 01/02  08:00:00,27.10380291,11.09413169,0,0.826731071,7.640478988,4.787127827,95.85554994,95.85554994,,
 01/02  09:00:00,39.34001208,11.09413169,0,0.767209223,19.10119747,8.377473697,79.58856651,79.58856651,,
 01/02  10:00:00,56.85896756,11.09413169,0,0.611642814,34.38215545,10.77103761,58.55109054,58.55109054,,
 01/02  11:00:00,56.76341018,11.09413169,0,0.516085439,34.38215545,10.77103761,48.74351629,48.74351629,,
 01/02  12:00:00,56.66559856,11.09413169,0,0.418273812,34.38215545,10.77103761,36.07837027,36.07837027,,
 01/02  13:00:00,56.61385238,11.09413169,0,0.366527639,34.38215545,10.77103761,30.1991091,30.1991091,,
 01/02  14:00:00,56.57695872,11.09413169,0,0.329633981,34.38215545,10.77103761,25.06051962,25.06051962,,
 01/02  15:00:00,56.54815948,11.09413169,0,0.300834732,34.38215545,10.77103761,20.09027095,20.09027095,,
 01/02  16:00:00,56.52394502,11.09413169,0,0.276620281,34.38215545,10.77103761,14.8257731,14.8257731,,
 01/02  17:00:00,57.91269294,11.09413169,0,0.287701529,34.38215545,10.77103761,15.83172167,15.83172167,,
 01/02  18:00:00,64.84870317,11.09413169,0,0.335378429,34.38215545,10.77103761,23.6778706,23.6778706,,
 01/02  19:00:00,52.23531106,11.09413169,0,0.379486756,22.92143696,9.574255654,32.31229754,32.31229754,,
