Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,92.7427583428,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,90.7590895654,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,89.2221654718,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,87.866093716,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553819067,0.0,1.75125,1.16428819067
 01/01  05:00:00,93.4380170453,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,92.1473743092,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,124.499844605,20.0491123249,0.0,0.0,6.98738001645,14.1499734587,326.671845737,322.005043494,3.5025,1.1643022427
 01/01  08:00:00,126.536865046,20.0491123249,0.0,0.0,6.98738001645,14.1499734587,312.468182151,308.945682151,3.5025,0.02
 01/01  09:00:00,157.869246397,20.0491123249,0.0,0.0,6.98738001645,14.1499734587,277.344477483,272.677631455,3.5025,1.16434602781
 01/01  10:00:00,133.176515682,20.0491123249,0.0,0.0,6.98738001645,14.1499734587,268.761158575,265.238658575,3.5025,0.02
 01/01  11:00:00,167.451277847,20.0491123249,0.0,0.0,27.9495200658,27.7759469175,242.707301985,234.537623206,7.005,1.16467877856
 01/01  12:00:00,197.486746151,20.0491123249,0.0,0.0,27.9495200658,27.7759469175,232.029982368,225.004982368,7.005,0.02
 01/01  13:00:00,206.51854378,20.0491123249,0.0,0.0,41.9242800987,36.8599292233,212.261267713,201.756427591,9.34,1.16484012194
 01/01  14:00:00,204.818812517,20.0491123249,0.0,0.0,41.9242800987,36.8599292233,203.10593923,192.601151529,9.34,1.16478770063
 01/01  15:00:00,201.482935406,20.0491123249,0.0,0.0,41.9242800987,36.8599292233,195.873761601,185.369081835,9.34,1.16467976611
 01/01  16:00:00,199.036108685,20.0491123249,0.0,0.0,41.9242800987,36.8599292233,189.424682353,180.064682353,9.34,0.02
 01/01  17:00:00,202.613396982,20.0491123249,0.0,0.0,41.9242800987,36.8599292233,188.049632345,177.544791519,9.34,1.16484082666
 01/01  18:00:00,183.63344262,20.0491123249,0.0,0.0,27.9495200658,27.7759469175,214.754516891,206.584785417,7.005,1.1647314738
 01/01  19:00:00,188.083384214,20.0491123249,0.0,0.0,13.9747600329,18.6919646116,223.024080833,218.334080833,4.67,0.02
 01/01  20:00:00,170.063742453,20.0491123249,0.0,0.0,13.9747600329,18.6919646116,231.637450811,225.802887811,4.67,1.1645630002
 01/01  21:00:00,160.650788151,20.0491123249,0.0,0.0,13.9747600329,18.6919646116,236.222193508,230.3877186,4.67,1.16447490784
 01/01  22:00:00,145.31837656,20.0491123249,0.0,0.0,13.9747600329,18.6919646116,191.785233113,187.095233113,4.67,0.02
 01/01  23:00:00,95.1481921292,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,129.018695614,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91549109246,0.0,1.75125,1.16424109246
 01/02  01:00:00,101.870937316,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,93.4859517668,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,91.9959802262,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926175324,0.0,2.335,1.16426175324
 01/02  04:00:00,90.720672922,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,96.0338271254,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,94.4426973078,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,138.947943951,20.0491123249,0.0,0.0,13.9747600329,18.6919646116,292.988739419,287.154497772,4.67,1.16424164737
