Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.0184667,6.70212383906,0.0,6.21658126131,0.0,0.172437745994,0.172437745994,0.172437745994,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.86974693462,6.96298032169,0.0,6.561172734,0.0,0.181996147041,0.181996147041,0.181996147041,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.817157740188,7.28846199998,0.0,6.90825569501,0.0,0.191623657879,0.191623657879,0.191623657879,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.805080953747,7.43680886921,0.0,7.05028230255,0.0,0.195563242523,0.195563242523,0.195563242523,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.806342714112,7.61768017192,0.0,7.16435184015,0.0,0.198727344,0.198727344,0.198727344,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.871284543183,8.00069660863,0.0,7.25394613437,0.0,0.201212542456,0.201212542456,0.201212542456,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.14037333782,8.43757572806,0.0,7.14205337279,0.0,0.198108821167,0.198108821167,0.198108821167,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.58033734993,9.38267652287,0.0,7.9301254032,0.0,0.219968643937,0.219968643937,0.219968643937,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.50382556648,8.63001671871,0.0,7.21462053016,0.0,0.200121714834,0.200121714834,0.200121714834,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.2971885242,8.49744592138,0.0,7.20579105672,0.0,0.199876799754,0.199876799754,0.199876799754,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.29046322658,8.39896957756,0.0,7.25245796156,0.0,0.201171262988,0.201171262988,0.201171262988,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.29448233854,7.65600728516,0.0,6.64347564527,0.0,0.184279094518,0.184279094518,0.184279094518,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.25672766377,6.99649739383,0.0,6.08548170584,0.0,0.168801259813,0.168801259813,0.168801259813,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
 01/01  14:00:00,1.22298082131,6.83710507549,0.0,5.98765649766,0.0,0.166087749334,0.166087749334,0.166087749334,0.159500966529,0.0345356726033,0.43681890348,0.405811529369
 01/01  15:00:00,1.21313828959,6.4860368019,0.0,5.6960457109,0.0,0.15799894543,0.15799894543,0.15799894543,0.167895800977,0.0363533502707,0.402002089622,0.42866210329
 01/01  16:00:00,1.29548527077,6.41209138667,0.0,5.61429280837,0.0,0.155731254291,0.155731254291,0.155731254291,0.209869675559,0.0454416934793,0.411726405573,0.452490241871
 01/01  17:00:00,1.61173721479,6.53158110287,0.0,5.65269081699,0.0,0.156796351935,0.156796351935,0.156796351935,0.352581072411,0.076342033312,0.470575105936,0.5352166512
 01/01  18:00:00,2.20648442871,6.85768480396,0.0,5.81931471914,0.0,0.161418225101,0.161418225101,0.161418225101,0.654793535011,0.141778068312,0.578065905983,0.6502026943
 01/01  19:00:00,2.61574997429,6.67699212313,0.0,5.48676334443,0.0,0.152193796581,0.152193796581,0.152193796581,0.97379546807,0.210849436083,0.522761393651,0.705923879905
 01/01  20:00:00,2.56866924667,6.20945783292,0.0,4.98524574129,0.0,0.138282522615,0.138282522615,0.138282522615,1.03255891233,0.223573112062,0.425376441419,0.728652258243
 01/01  21:00:00,2.37440585785,6.13765663606,0.0,4.99116685851,0.0,0.138446764674,0.138446764674,0.138446764674,0.889847515476,0.192672749665,0.37951047539,0.753702352649
 01/01  22:00:00,2.16533667211,6.10319979512,0.0,5.06451135002,0.0,0.140481220312,0.140481220312,0.140481220312,0.74713612112,0.161772409833,0.359614732068,0.736106188774
 01/01  23:00:00,1.77852369343,6.20187209557,0.0,5.33207197543,0.0,0.147902912271,0.147902912271,0.147902912271,0.562450849685,0.121783726791,0.289154633287,0.637005571394
 01/01  24:00:00,1.38899786706,6.22926316448,0.0,5.54591786657,0.0,0.153834645793,0.153834645793,0.153834645793,0.386160211764,0.0836126988533,0.191618322082,0.55354598857
 01/02  01:00:00,1.0010177121,6.33480917439,0.0,5.86401202846,0.0,0.162658054992,0.162658054992,0.162658054992,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/02  02:00:00,0.854850599492,6.58233363559,0.0,6.1901531387,0.0,0.171704673312,0.171704673312,0.171704673312,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/02  03:00:00,0.797877095921,6.69487647618,0.0,6.32299392711,0.0,0.175389458433,0.175389458433,0.175389458433,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
 01/02  04:00:00,0.793522177548,7.06972190417,0.0,6.69100345529,0.0,0.185597437847,0.185597437847,0.185597437847,0.0839478806446,0.0181766751353,0.0747526356716,0.41082154825
 01/02  05:00:00,0.802794120542,7.58987604094,0.0,7.14876889175,0.0,0.198295098625,0.198295098625,0.198295098625,0.0839478806446,0.0181766751353,0.0868457568597,0.395302709277
 01/02  06:00:00,0.8687531596,8.04802971931,0.0,7.33499243212,0.0,0.203460633539,0.203460633539,0.203460633539,0.0839478806446,0.0181766751353,0.101815917579,0.441126052701
 01/02  07:00:00,1.11782897767,7.9919841161,0.0,6.77620872133,0.0,0.187960891875,0.187960891875,0.187960891875,0.193080105882,0.0418063607087,0.165077844744,0.509677774465
 01/02  08:00:00,1.50974865161,7.62905757668,0.0,6.27536106165,0.0,0.174068201039,0.174068201039,0.174068201039,0.394555048708,0.0854303765206,0.25639820385,0.541570821488
 01/02  09:00:00,1.44136127111,7.63630764586,0.0,6.32701285734,0.0,0.175500936951,0.175500936951,0.175500936951,0.377765476535,0.08179504375,0.32820696637,0.457866847499
 01/02  10:00:00,1.21700700494,7.40213041151,0.0,6.2091463982,0.0,0.172231515112,0.172231515112,0.172231515112,0.193080105882,0.0418063607087,0.39998131075,0.389681712483
 01/02  11:00:00,1.20411196626,7.34081926246,0.0,6.28091542386,0.0,0.174222269917,0.174222269917,0.174222269917,0.159500966529,0.0345356726033,0.416780676038,0.398846381168
 01/02  12:00:00,1.19838249264,6.32623161686,0.0,5.38662539643,0.0,0.1494161345,0.1494161345,0.1494161345,0.159500966529,0.0345356726033,0.435735142253,0.398968576751
 01/02  13:00:00,1.16876676333,5.76768939051,0.0,4.92528401694,0.0,0.13661928294,0.13661928294,0.13661928294,0.159500966529,0.0345356726033,0.425637021538,0.392247819715
 01/02  14:00:00,1.13239775409,5.34351684817,0.0,4.55533071837,0.0,0.12635738653,0.12635738653,0.12635738653,0.159500966529,0.0345356726033,0.385966199058,0.405811529369
 01/02  15:00:00,1.12480928922,4.88998265,0.0,4.15729196524,0.0,0.115316445775,0.115316445775,0.115316445775,0.167895800977,0.0363533502707,0.356355588907,0.42866210329
 01/02  16:00:00,1.20722174512,4.73121619575,0.0,3.99097897599,0.0,0.110703196822,0.110703196822,0.110703196822,0.209869675559,0.0454416934793,0.368490937387,0.452490241871
 01/02  17:00:00,1.5187171002,4.62014619399,0.0,3.80990406114,0.0,0.105680476316,0.105680476316,0.105680476316,0.352581072411,0.076342033312,0.428670866964,0.5352166512
 01/02  18:00:00,2.12243046426,5.23455645231,0.0,4.27596277911,0.0,0.118608179092,0.118608179092,0.118608179092,0.654793535011,0.141778068312,0.536821987543,0.6502026943
 01/02  19:00:00,2.52650637846,4.80637384149,0.0,3.71250916814,0.0,0.102978902073,0.102978902073,0.102978902073,0.97379546807,0.210849436083,0.482732692333,0.705923879905
 01/02  20:00:00,2.49118350156,4.74947355549,0.0,3.63211826592,0.0,0.100748990584,0.100748990584,0.100748990584,1.03255891233,0.223573112062,0.385424228339,0.728652258243
 01/02  21:00:00,2.3039379196,4.96287661287,0.0,3.9167218062,0.0,0.108643424988,0.108643424988,0.108643424988,0.889847515476,0.192672749665,0.338845876819,0.753702352649
 01/02  22:00:00,2.10174494485,5.2230980971,0.0,4.26956901665,0.0,0.118430826631,0.118430826631,0.118430826631,0.74713612112,0.161772409833,0.318073398495,0.736106188774
 01/02  23:00:00,1.72956496772,5.56036947235,0.0,4.75705670095,0.0,0.13195293371,0.13195293371,0.13195293371,0.562450849685,0.121783726791,0.256145886137,0.637005571394
 01/02  24:00:00,1.35586770616,5.64531992353,0.0,5.00492781786,0.0,0.138828471067,0.138828471067,0.138828471067,0.386160211764,0.0836126988533,0.173494335907,0.55354598857
 01/03  01:00:00,0.990858023179,5.96510262209,0.0,5.4977434287,0.0,0.152498366071,0.152498366071,0.152498366071,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/03  02:00:00,0.843449623944,6.1683027316,0.0,5.77913471262,0.0,0.160303697764,0.160303697764,0.160303697764,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/03  03:00:00,0.792470537551,6.49703952289,0.0,6.12808121091,0.0,0.169982900063,0.169982900063,0.169982900063,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
 01/03  04:00:00,0.782163616269,6.65705614803,0.0,6.28151411294,0.0,0.174238876568,0.174238876568,0.174238876568,0.0839478806446,0.0181766751353,0.0747526356716,0.41082154825
 01/03  05:00:00,0.781569096954,6.81955572413,0.0,6.38358211,0.0,0.177070075037,0.177070075037,0.177070075037,0.0839478806446,0.0181766751353,0.0868457568597,0.395302709277
 01/03  06:00:00,0.845728548327,7.21189936753,0.0,6.50492842167,0.0,0.180436022266,0.180436022266,0.180436022266,0.0839478806446,0.0181766751353,0.101815917579,0.441126052701
 01/03  07:00:00,1.10687591479,7.59241517261,0.0,6.38133806746,0.0,0.177007828985,0.177007828985,0.177007828985,0.193080105882,0.0418063607087,0.165077844744,0.509677774465
 01/03  08:00:00,1.53084328761,8.3864745203,0.0,7.03584721943,0.0,0.195162837045,0.195162837045,0.195162837045,0.394555048708,0.0854303765206,0.25639820385,0.541570821488
 01/03  09:00:00,1.44321248863,7.70254742685,0.0,6.39375140181,0.0,0.177352154477,0.177352154477,0.177352154477,0.377765476535,0.08179504375,0.32820696637,0.457866847499
 01/03  10:00:00,1.22094615752,7.54411426977,0.0,6.35115742943,0.0,0.176170667694,0.176170667694,0.176170667694,0.193080105882,0.0418063607087,0.39998131075,0.389681712483
 01/03  11:00:00,1.21793513917,7.84043708386,0.0,6.77925688156,0.0,0.18804544283,0.18804544283,0.18804544283,0.159500966529,0.0345356726033,0.416780676038,0.398846381168
 01/03  12:00:00,1.21987175056,7.10274649375,0.0,6.16133813327,0.0,0.170905392425,0.170905392425,0.170905392425,0.159500966529,0.0345356726033,0.435735142253,0.398968576751
 01/03  13:00:00,1.19847105559,6.84406785066,0.0,5.9961582945,0.0,0.166323575204,0.166323575204,0.166323575204,0.159500966529,0.0345356726033,0.425637021538,0.392247819715
 01/03  14:00:00,1.16997992103,6.70539559548,0.0,5.91021153867,0.0,0.163939553468,0.163939553468,0.163939553468,0.159500966529,0.0345356726033,0.385966199058,0.405811529369
 01/03  15:00:00,1.17124243699,6.57357744704,0.0,5.83126093682,0.0,0.161749593543,0.161749593543,0.161749593543,0.167895800977,0.0363533502707,0.356355588907,0.42866210329
 01/03  16:00:00,1.25404483042,6.42988216697,0.0,5.6790056491,0.0,0.157526282124,0.157526282124,0.157526282124,0.209869675559,0.0454416934793,0.368490937387,0.452490241871
 01/03  17:00:00,1.56956929164,6.46487688929,0.0,5.64318469564,0.0,0.156532667754,0.156532667754,0.156532667754,0.352581072411,0.076342033312,0.428670866964,0.5352166512
 01/03  18:00:00,2.16801066742,6.8891845343,0.0,5.91918210558,0.0,0.164188382249,0.164188382249,0.164188382249,0.654793535011,0.141778068312,0.536821987543,0.6502026943
 01/03  19:00:00,2.56483422088,6.1992791769,0.0,5.09427245674,0.0,0.141306744494,0.141306744494,0.141306744494,0.97379546807,0.210849436083,0.482732692333,0.705923879905
 01/03  20:00:00,2.52831056713,6.09854247097,0.0,4.9705921528,0.0,0.137876056156,0.137876056156,0.137876056156,1.03255891233,0.223573112062,0.385424228339,0.728652258243
 01/03  21:00:00,2.33533276572,6.10374319667,0.0,5.0485425164,0.0,0.140038271115,0.140038271115,0.140038271115,0.889847515476,0.192672749665,0.338845876819,0.753702352649
 01/03  22:00:00,2.12746793501,6.15910049679,0.0,5.19691272367,0.0,0.144153816789,0.144153816789,0.144153816789,0.74713612112,0.161772409833,0.318073398495,0.736106188774
 01/03  23:00:00,1.75100552255,6.33983476421,0.0,5.53001363459,0.0,0.15339348854,0.15339348854,0.15339348854,0.562450849685,0.121783726791,0.256145886137,0.637005571394
 01/03  24:00:00,1.37919046678,6.49224858685,0.0,5.84574045895,0.0,0.162151231687,0.162151231687,0.162151231687,0.386160211764,0.0836126988533,0.173494335907,0.55354598857
 01/04  01:00:00,1.00965884539,6.64792171926,0.0,6.175534932,0.0,0.171299188287,0.171299188287,0.171299188287,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/04  02:00:00,0.860805859568,6.79824852703,0.0,6.40484718947,0.0,0.177659933388,0.177659933388,0.177659933388,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/04  03:00:00,0.802411212609,6.85882812725,0.0,6.48645410621,0.0,0.179923575121,0.179923575121,0.179923575121,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
 01/04  04:00:00,0.795665284624,7.14636984988,0.0,6.76826495748,0.0,0.187740544923,0.187740544923,0.187740544923,0.0839478806446,0.0181766751353,0.0747526356716,0.41082154825
