Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.4202559262,0.854298670911,0.0,0.588150325926,0.0,0.0116082685008,0.0116082685008,0.0116082685008,0.0515819817732,0.00861509811464,0.0389770129118,0.2996515649
 01/01  02:00:00,0.370998218155,0.895852378562,0.0,0.686899549198,0.0,0.0135572727731,0.0135572727731,0.0135572727731,0.0300895004845,0.00502547575691,0.0366038093052,0.275900159836
 01/01  03:00:00,0.357402059311,0.961543821063,0.0,0.773078121564,0.0,0.015258171273,0.015258171273,0.015258171273,0.0214924919608,0.00358962503138,0.0345384536427,0.272701317403
 01/01  04:00:00,0.353215097917,1.01258353829,0.0,0.819344108318,0.0,0.0161713187678,0.0161713187678,0.0161713187678,0.0214924919608,0.00358962503138,0.0332769556732,0.268862706483
 01/01  05:00:00,0.344134534476,1.09077384993,0.0,0.845803876595,0.0,0.0166935527632,0.0166935527632,0.0166935527632,0.0214924919608,0.00358962503138,0.0338304829616,0.258706381759
 01/01  06:00:00,0.376065850553,1.2884902358,0.0,0.831993215653,0.0,0.0164209730275,0.0164209730275,0.0164209730275,0.0214924919608,0.00358962503138,0.0360452309657,0.288695529567
 01/01  07:00:00,0.457924367785,1.57480359453,0.0,0.709129177754,0.0,0.0139960168928,0.0139960168928,0.0139960168928,0.0494327203042,0.00825613810691,0.0428581977933,0.333559294688
 01/01  08:00:00,0.570379314297,2.05702099922,0.0,1.0659432445,0.0,0.0210384230755,0.0210384230755,0.0210384230755,0.101014728758,0.0168712362215,0.0522011846794,0.354431741563
 01/01  09:00:00,0.4979189227,1.70892975548,0.0,0.763424901841,0.0,0.0150676465695,0.0150676465695,0.0150676465695,0.0967162325,0.01615331175,0.0605081669804,0.2996515649
 01/01  10:00:00,0.401796878319,1.6356229739,0.0,0.784954867859,0.0,0.0154925815144,0.0154925815144,0.0154925815144,0.0494327203042,0.00825613810691,0.0637657254319,0.255027712961
 01/01  11:00:00,0.392890734613,1.48098172409,0.0,0.74010684284,0.0,0.014607420199,0.014607420199,0.014607420199,0.0408357277887,0.00682028916382,0.0597797549385,0.261025542523
 01/01  12:00:00,0.39203979246,1.41072330683,0.0,0.737960634153,0.0,0.014565060677,0.014565060677,0.014565060677,0.0408357277887,0.00682028916382,0.0588912012469,0.261105513584
 01/01  13:00:00,0.387778696012,1.30474186216,0.0,0.680647742328,0.0,0.0134338814401,0.0134338814401,0.0134338814401,0.0408357277887,0.00682028916382,0.0601596923813,0.256707105238
 01/01  14:00:00,0.394608357961,1.23671969069,0.0,0.67360321517,0.0,0.0132948442601,0.0132948442601,0.0132948442601,0.0408357277887,0.00682028916382,0.0582516037592,0.26558389299
 01/01  15:00:00,0.408314725966,1.16382526441,0.0,0.637348548282,0.0,0.0125792892581,0.0125792892581,0.0125792892581,0.0429849892577,0.00717924917155,0.0552107169154,0.280538481363
 01/01  16:00:00,0.438552553544,1.18460717551,0.0,0.622301023267,0.0,0.0122822976508,0.0122822976508,0.0122822976508,0.0537312432423,0.00897406257845,0.0576101118494,0.296132838224
 01/01  17:00:00,0.543535405345,1.24841654324,0.0,0.556969405455,0.0,0.0109928535619,0.0109928535619,0.0109928535619,0.0902684747732,0.0150764228146,0.0671024077954,0.3502732464
 01/01  18:00:00,0.735833944102,1.9660395793,0.0,1.04354782699,0.0,0.0205964067946,0.0205964067946,0.0205964067946,0.167641434093,0.0279990766707,0.08424901191,0.425526014633
 01/01  19:00:00,0.897342039537,1.92758757163,0.0,0.97742445402,0.0,0.0192913359075,0.0192913359075,0.0192913359075,0.249312916351,0.0416396505423,0.0852833183682,0.461992818368
 01/01  20:00:00,0.878584998718,1.1792166426,0.0,0.330750953594,0.0,0.00652800093271,0.00652800093271,0.00652800093271,0.264357666593,0.0441523884207,0.076857507091,0.476867435681
 01/01  21:00:00,0.840481101346,0.967631636749,0.0,0.221269614345,0.0,0.00436717788152,0.00436717788152,0.00436717788152,0.227820435062,0.0380500237285,0.0671599615243,0.49326150315
 01/01  22:00:00,0.779477959204,0.891316101533,0.0,0.236175798477,0.0,0.00466137985692,0.00466137985692,0.00466137985692,0.191283176851,0.0319476634923,0.0600180686125,0.481745670391
 01/01  23:00:00,0.652321315001,0.848843551939,0.0,0.315965676167,0.0,0.00623618528174,0.00623618528174,0.00623618528174,0.143999691335,0.0240504898492,0.0513238084703,0.416889140065
 01/01  24:00:00,0.540013916785,0.826847991756,0.0,0.422135146044,0.0,0.00833164227392,0.00833164227392,0.00833164227392,0.0988654672887,0.0165122762138,0.0442136254855,0.362268905523
 01/02  01:00:00,0.419157414619,0.806534167404,0.0,0.549133432304,0.0,0.0108381956856,0.0108381956856,0.0108381956856,0.0515819817732,0.00861509811464,0.0386485741458,0.2996515649
 01/02  02:00:00,0.3701016055,0.856289826759,0.0,0.651606059487,0.0,0.012860688436,0.012860688436,0.012860688436,0.0300895004845,0.00502547575691,0.0364037809873,0.275900159836
 01/02  03:00:00,0.355785218213,0.882297803689,0.0,0.697210636969,0.0,0.0137607817573,0.0137607817573,0.0137607817573,0.0214924919608,0.00358962503138,0.0344190020612,0.272701317403
 01/02  04:00:00,0.352172197481,0.961103020575,0.0,0.771567233551,0.0,0.0152283510162,0.0152283510162,0.0152283510162,0.0214924919608,0.00358962503138,0.0331770229889,0.268862706483
 01/02  05:00:00,0.344058856142,1.08743133963,0.0,0.85012052922,0.0,0.0167787501362,0.0167787501362,0.0167787501362,0.0214924919608,0.00358962503138,0.0336696072551,0.258706381759
 01/02  06:00:00,0.376019386735,1.27785609506,0.0,0.844845286632,0.0,0.0166746331619,0.0166746331619,0.0166746331619,0.0214924919608,0.00358962503138,0.0357451070141,0.288695529567
 01/02  07:00:00,0.456118710047,1.45935749272,0.0,0.648061098773,0.0,0.0127907218748,0.0127907218748,0.0127907218748,0.0494327203042,0.00825613810691,0.0422578350732,0.333559294688
 01/02  08:00:00,0.566111026337,1.83567703728,0.0,0.907665439142,0.0,0.0179145086928,0.0179145086928,0.0179145086928,0.101014728758,0.0168712362215,0.0510568111019,0.354431741563
 01/02  09:00:00,0.493862705301,1.53496213863,0.0,0.651841473781,0.0,0.0128653347861,0.0128653347861,0.0128653347861,0.0967162325,0.01615331175,0.0586542613656,0.2996515649
 01/02  10:00:00,0.396816005815,1.43732901136,0.0,0.641297047717,0.0,0.0126572204257,0.0126572204257,0.0126572204257,0.0494327203042,0.00825613810691,0.0616202140166,0.255027712961
 01/02  11:00:00,0.387935469293,1.28664533601,0.0,0.591240341224,0.0,0.0116692558465,0.0116692558465,0.0116692558465,0.0408357277887,0.00682028916382,0.0577626539713,0.261025542523
 01/02  12:00:00,0.386322643315,1.17355303488,0.0,0.537810499321,0.0,0.0106147160062,0.0106147160062,0.0106147160062,0.0408357277887,0.00682028916382,0.0571243967723,0.261105513584
 01/02  13:00:00,0.382334450017,1.07650051459,0.0,0.48417584666,0.0,0.009556133835,0.009556133835,0.009556133835,0.0408357277887,0.00682028916382,0.0585931939908,0.256707105238
 01/02  14:00:00,0.388492512628,0.975881805298,0.0,0.439914946465,0.0,0.00868256054786,0.00868256054786,0.00868256054786,0.0408357277887,0.00682028916382,0.0567480421383,0.26558389299
 01/02  15:00:00,0.402043801871,0.886228256109,0.0,0.384665219373,0.0,0.00759210180216,0.00759210180216,0.00759210180216,0.0429849892577,0.00717924917155,0.0539269802759,0.280538481363
 01/02  16:00:00,0.43217013133,0.896902093335,0.0,0.359885933855,0.0,0.00710303533928,0.00710303533928,0.00710303533928,0.0537312432423,0.00897406257845,0.0564069519463,0.296132838224
 01/02  17:00:00,0.536777113252,0.937031093685,0.0,0.278048961532,0.0,0.00548782659732,0.00548782659732,0.00548782659732,0.0902684747732,0.0150764228146,0.065849142667,0.3502732464
 01/02  18:00:00,0.727819052443,1.58819864746,0.0,0.706361946281,0.0,0.0139414003015,0.0139414003015,0.0139414003015,0.167641434093,0.0279990766707,0.0828891267443,0.425526014633
 01/02  19:00:00,0.878708347323,1.01983690551,0.0,0.124065377009,0.0,0.0024486668535,0.0024486668535,0.0024486668535,0.249312916351,0.0416396505423,0.0834922952089,0.461992818368
 01/02  20:00:00,0.869991676712,0.786973989148,0.0,0.0,0.0,0.0,0.0,0.0,0.264357666593,0.0441523884207,0.0747921860178,0.476867435681
 01/02  21:00:00,0.83464136822,0.705952064482,0.0,0.0181193800951,0.0,0.00035762052649,0.00035762052649,0.00035762052649,0.227820435062,0.0380500237285,0.0653297857535,0.49326150315
 01/02  22:00:00,0.774824180837,0.684413554335,0.0,0.0776721402,0.0,0.00153300783614,0.00153300783614,0.00153300783614,0.191283176851,0.0319476634923,0.0584926622668,0.481745670391
 01/02  23:00:00,0.648913170853,0.689297158318,0.0,0.195322359841,0.0,0.00385505932293,0.00385505932293,0.00385505932293,0.143999691335,0.0240504898492,0.0502967902808,0.416889140065
 01/02  24:00:00,0.536880716864,0.675261908924,0.0,0.295138748509,0.0,0.00582512613981,0.00582512613981,0.00582512613981,0.0988654672887,0.0165122762138,0.0435869416981,0.362268905523
 01/03  01:00:00,0.417106967149,0.702820266725,0.0,0.445244437364,0.0,0.00878774821604,0.00878774821604,0.00878774821604,0.0515819817732,0.00861509811464,0.0386485741458,0.2996515649
 01/03  02:00:00,0.367901027939,0.744877343639,0.0,0.540110498388,0.0,0.0106601108748,0.0106601108748,0.0106601108748,0.0300895004845,0.00502547575691,0.0364037809873,0.275900159836
 01/03  03:00:00,0.354307591401,0.807492707327,0.0,0.622344459373,0.0,0.0122831549452,0.0122831549452,0.0122831549452,0.0214924919608,0.00358962503138,0.0344190020612,0.272701317403
 01/03  04:00:00,0.350166651037,0.859558687577,0.0,0.66995321639,0.0,0.0132228045723,0.0132228045723,0.0132228045723,0.0214924919608,0.00358962503138,0.0331770229889,0.268862706483
 01/03  05:00:00,0.341019437209,0.933578099107,0.0,0.696123812474,0.0,0.0137393312029,0.0137393312029,0.0137393312029,0.0214924919608,0.00358962503138,0.0336696072551,0.258706381759
 01/03  06:00:00,0.372907654358,1.12067011327,0.0,0.68718470085,0.0,0.0135629007849,0.0135629007849,0.0135629007849,0.0214924919608,0.00358962503138,0.0357451070141,0.288695529567
 01/03  07:00:00,0.454559288116,1.38143726035,0.0,0.569050648866,0.0,0.0112312999439,0.0112312999439,0.0112312999439,0.0494327203042,0.00825613810691,0.0422578350732,0.333559294688
 01/03  08:00:00,0.565791016539,1.82069598462,0.0,0.891451663003,0.0,0.0175944988951,0.0175944988951,0.0175944988951,0.101014728758,0.0168712362215,0.0510568111019,0.354431741563
 01/03  09:00:00,0.49340568928,1.51295310454,0.0,0.628686071909,0.0,0.0124083187643,0.0124083187643,0.0124083187643,0.0967162325,0.01615331175,0.0586542613656,0.2996515649
 01/03  10:00:00,0.396714461163,1.43317423368,0.0,0.636152135738,0.0,0.0125556757745,0.0125556757745,0.0125556757745,0.0494327203042,0.00825613810691,0.0616202140166,0.255027712961
 01/03  11:00:00,0.388808961767,1.33173448619,0.0,0.635497146911,0.0,0.0125427483207,0.0125427483207,0.0125427483207,0.0408357277887,0.00682028916382,0.0577626539713,0.261025542523
 01/03  12:00:00,0.388332527595,1.27608629379,0.0,0.639644299474,0.0,0.0126246002867,0.0126246002867,0.0126246002867,0.0408357277887,0.00682028916382,0.0571243967723,0.261105513584
 01/03  13:00:00,0.385404700115,1.23265543941,0.0,0.639734670619,0.0,0.0126263839336,0.0126263839336,0.0126263839336,0.0408357277887,0.00682028916382,0.0585931939908,0.256707105238
 01/03  14:00:00,0.392517755621,1.18035879537,0.0,0.643859917046,0.0,0.0127078035402,0.0127078035402,0.0127078035402,0.0408357277887,0.00682028916382,0.0567480421383,0.26558389299
 01/03  15:00:00,0.407032183964,1.13944894354,0.0,0.637409076358,0.0,0.0125804838951,0.0125804838951,0.0125804838951,0.0429849892577,0.00717924917155,0.0539269802759,0.280538481363
 01/03  16:00:00,0.437017774657,1.14300544011,0.0,0.605499050303,0.0,0.0119506786668,0.0119506786668,0.0119506786668,0.0537312432423,0.00897406257845,0.0564069519463,0.296132838224
 01/03  17:00:00,0.542147656913,1.20970687464,0.0,0.550155607247,0.0,0.0108583702578,0.0108583702578,0.0108583702578,0.0902684747732,0.0150764228146,0.065849142667,0.3502732464
 01/03  18:00:00,0.736006764945,2.0037798518,0.0,1.12120467465,0.0,0.0221291128033,0.0221291128033,0.0221291128033,0.167641434093,0.0279990766707,0.0828891267443,0.425526014633
 01/03  19:00:00,0.883492719113,1.26312080699,0.0,0.36647274615,0.0,0.00723303864338,0.00723303864338,0.00723303864338,0.249312916351,0.0416396505423,0.0834922952089,0.461992818368
 01/03  20:00:00,0.874306634515,1.00648624106,0.0,0.218623805776,0.0,0.00431495780288,0.00431495780288,0.00431495780288,0.264357666593,0.0441523884207,0.0747921860178,0.476867435681
 01/03  21:00:00,0.838398785681,0.897132357591,0.0,0.208494568611,0.0,0.00411503798726,0.00411503798726,0.00411503798726,0.227820435062,0.0380500237285,0.0653297857535,0.49326150315
 01/03  22:00:00,0.778207722905,0.856550661775,0.0,0.249104371433,0.0,0.00491654990375,0.00491654990375,0.00491654990375,0.191283176851,0.0319476634923,0.0584926622668,0.481745670391
 01/03  23:00:00,0.651915381694,0.841955837882,0.0,0.347433872828,0.0,0.00685727016424,0.00685727016424,0.00685727016424,0.143999691335,0.0240504898492,0.0502967902808,0.416889140065
 01/03  24:00:00,0.540148319973,0.841188978759,0.0,0.460696758616,0.0,0.00909272924919,0.00909272924919,0.00909272924919,0.0988654672887,0.0165122762138,0.0435869416981,0.362268905523
 01/04  01:00:00,0.419945371623,0.846801483857,0.0,0.589056455167,0.0,0.0116261526897,0.0116261526897,0.0116261526897,0.0515819817732,0.00861509811464,0.0386485741458,0.2996515649
 01/04  02:00:00,0.370504246862,0.87685358302,0.0,0.672006487681,0.0,0.0132633297976,0.0132633297976,0.0132633297976,0.0300895004845,0.00502547575691,0.0364037809873,0.275900159836
 01/04  03:00:00,0.356287432372,0.907863314382,0.0,0.722656070202,0.0,0.014262995916,0.014262995916,0.014262995916,0.0214924919608,0.00358962503138,0.0344190020612,0.272701317403
 01/04  04:00:00,0.352418856718,0.973737366443,0.0,0.784064593591,0.0,0.0154750102537,0.0154750102537,0.0154750102537,0.0214924919608,0.00358962503138,0.0331770229889,0.268862706483
 01/04  05:00:00,0.343179234511,1.04314604577,0.0,0.805553180583,0.0,0.0158991285046,0.0158991285046,0.0158991285046,0.0214924919608,0.00358962503138,0.0336696072551,0.258706381759
 01/04  06:00:00,0.374224970429,1.18787225361,0.0,0.753928494388,0.0,0.0148802168553,0.0148802168553,0.0148802168553,0.0214924919608,0.00358962503138,0.0357451070141,0.288695529567
 01/04  07:00:00,0.455521505317,1.43124227447,0.0,0.617802825832,0.0,0.0121935171447,0.0121935171447,0.0121935171447,0.0494327203042,0.00825613810691,0.0422578350732,0.333559294688
 01/04  08:00:00,0.566591456387,1.86244192533,0.0,0.932007147872,0.0,0.0183949387432,0.0183949387432,0.0183949387432,0.101014728758,0.0168712362215,0.0510568111019,0.354431741563
 01/04  09:00:00,0.493736423139,1.53081729241,0.0,0.645443198709,0.0,0.0127390526238,0.0127390526238,0.0127390526238,0.0967162325,0.01615331175,0.0586542613656,0.2996515649
 01/04  10:00:00,0.39705215029,1.45123991642,0.0,0.653261661555,0.0,0.0128933649007,0.0128933649007,0.0128933649007,0.0494327203042,0.00825613810691,0.0616202140166,0.255027712961
 01/04  11:00:00,0.388972948949,1.34084693792,0.0,0.643805803315,0.0,0.0127067355025,0.0127067355025,0.0127067355025,0.0408357277887,0.00682028916382,0.0577626539713,0.261025542523
 01/04  12:00:00,0.38867940885,1.29433701899,0.0,0.657219558292,0.0,0.012971481542,0.012971481542,0.012971481542,0.0408357277887,0.00682028916382,0.0571243967723,0.261105513584
 01/04  13:00:00,0.384996824371,1.21256546776,0.0,0.619069034576,0.0,0.0122185081894,0.0122185081894,0.0122185081894,0.0408357277887,0.00682028916382,0.0585931939908,0.256707105238
 01/04  14:00:00,0.391513264994,1.12997852534,0.0,0.592965893595,0.0,0.0117033129138,0.0117033129138,0.0117033129138,0.0408357277887,0.00682028916382,0.0567480421383,0.26558389299
 01/04  15:00:00,0.40521469194,1.04782347021,0.0,0.545323118314,0.0,0.0107629918714,0.0107629918714,0.0107629918714,0.0429849892577,0.00717924917155,0.0539269802759,0.280538481363
 01/04  16:00:00,0.435812209903,1.08239711578,0.0,0.544417304744,0.0,0.0107451139129,0.0107451139129,0.0107451139129,0.0537312432423,0.00897406257845,0.0564069519463,0.296132838224
 01/04  17:00:00,0.541000995125,1.1521591569,0.0,0.492058268796,0.0,0.00971170847052,0.00971170847052,0.00971170847052,0.0902684747732,0.0150764228146,0.065849142667,0.3502732464
 01/04  18:00:00,0.733200504539,1.86230954967,0.0,0.979021284238,0.0,0.0193228523976,0.0193228523976,0.0193228523976,0.167641434093,0.0279990766707,0.0828891267443,0.425526014633
 01/04  19:00:00,0.893511950052,1.77160663492,0.0,0.874112101813,0.0,0.0172522695821,0.0172522695821,0.0172522695821,0.249312916351,0.0416396505423,0.0834922952089,0.461992818368
 01/04  20:00:00,0.874708878238,1.02772395452,0.0,0.239004086976,0.0,0.00471720152504,0.00471720152504,0.00471720152504,0.264357666593,0.0441523884207,0.0747921860178,0.476867435681
 01/04  21:00:00,0.837288177893,0.84163898299,0.0,0.1522239601,0.0,0.00300443019957,0.00300443019957,0.00300443019957,0.227820435062,0.0380500237285,0.0653297857535,0.49326150315
 01/04  22:00:00,0.77652437982,0.771942285617,0.0,0.163815270503,0.0,0.00323320681925,0.00323320681925,0.00323320681925,0.191283176851,0.0319476634923,0.0584926622668,0.481745670391
 01/04  23:00:00,0.649924632542,0.741619952207,0.0,0.246569582634,0.0,0.00486652101203,0.00486652101203,0.00486652101203,0.143999691335,0.0240504898492,0.0502967902808,0.416889140065
