Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5378603688,2.1090716754,0.0,0.0,1.85583932782,5.577,31.5922787192,26.28021402,3.0011,2.3109646992
 01/01  02:00:00,9.55716311881,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.5856586904,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.60432722356,0.0,0.0,0.0,0.618613109274,5.0,3.59316345313,0.0,3.0011,0.592063453126
 01/01  05:00:00,9.76242703032,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.7094786228,2.1090716754,0.0,0.0,1.85583932782,5.577,29.1991535398,24.1054341713,4.50165,0.592069368455
 01/01  07:00:00,28.1856561768,2.1090716754,0.0,0.0,3.71167865564,18.077,32.8108925247,18.1406438464,13.50495,1.16529867829
 01/01  08:00:00,28.1426827819,2.1090716754,0.0,0.0,3.71167865564,18.077,38.5669390549,15.8213057037,21.0077,1.73793335117
 01/01  09:00:00,20.6182937394,2.1090716754,0.0,0.0,3.71167865564,13.077,32.3813277492,15.638002974,15.0055,1.73782477529
 01/01  10:00:00,20.6306204396,2.1090716754,0.0,0.0,3.71167865564,13.077,30.7434506674,14.572692213,15.0055,1.16525845436
 01/01  11:00:00,25.6334357483,2.1090716754,0.0,0.0,3.71167865564,18.077,47.7920031577,10.1672032512,33.0121,4.61269990651
 01/01  12:00:00,26.749603113,2.1090716754,0.0,0.0,3.71167865564,18.077,51.0812158062,6.52805337604,40.51485,4.03831243019
 01/01  13:00:00,25.8434149688,2.1090716754,0.0,0.0,3.71167865564,18.077,49.7080610143,9.65867804484,36.0132,4.03618296951
