Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.057995479,5.20734064425,1.28426723749,0.0,12.925468867,10.100111941,21.555329618,21.535329618,0.0,0.02
 01/01  02:00:00,36.8724212642,5.18152743143,1.10357686063,0.0221286413448,12.925468867,10.100111941,28.2289114865,22.4691454253,0.0,5.75976606116
 01/01  03:00:00,32.0099801293,5.14442757588,0.834584632802,0.084817152817,8.34152022915,10.0650221343,28.4584654964,22.6985527356,0.0,5.75991276082
 01/01  04:00:00,31.9829853651,5.13387456023,0.736877419873,0.166086108505,8.34152022915,10.0650221343,22.3214675493,22.3014675493,0.0,0.02
 01/01  05:00:00,33.5939433169,5.12992749161,0.697236380932,0.213932451386,8.34152022915,11.6705166398,27.307009416,21.5407482455,0.0,5.76626117053
 01/01  06:00:00,37.7636374237,5.13017195947,0.706623141697,0.215606478168,8.80141237637,15.3678112995,24.4117347697,18.6394247349,0.0,5.77231003488
 01/01  07:00:00,58.2855205439,5.20910953908,1.31623643534,0.0721710224794,18.5082010057,25.6353820695,29.5279451766,17.977242632,0.0,11.5507025446
 01/01  08:00:00,76.223695309,5.39849779893,2.68200791487,0.0,19.4926561212,41.1001056674,28.804207975,17.1897432546,0.0,11.6144647204
 01/01  09:00:00,94.6869191975,5.66597333856,4.65606323548,0.0,26.3286599382,57.9988325916,46.7280865891,11.1838798943,0.0,35.5442066948
 01/01  10:00:00,77.9770692376,5.47790331593,3.40810583747,0.0,26.2443270014,42.8153538416,57.6938360509,10.2145531744,18.025,29.4542828765
 01/01  11:00:00,52.175455391,5.23941954366,1.71983796345,0.0,21.7447113004,23.4437158914,57.7925373175,10.407076624,18.025,29.3604606934
 01/01  12:00:00,49.4884534985,5.21358831076,1.46086714716,0.0,19.3449162599,23.4437158914,51.1527014877,9.69180537824,18.025,23.4358961094
 01/01  13:00:00,49.390800504,5.18851844232,1.24162692404,0.00465869441778,19.190480192,23.7425572507,54.4087642018,13.0039975217,18.025,23.3797666801
 01/01  14:00:00,49.2703504494,5.17811313694,1.10022368932,0.00989265402894,19.260583323,23.698576057,53.3899838661,11.9871674045,18.025,23.3778164616
 01/01  15:00:00,49.2318944186,5.17406220489,1.06844379376,0.00726486542545,19.260583323,23.698576057,49.981787899,11.5141382659,18.025,20.4426496331
 01/01  16:00:00,48.8643662903,5.16373994217,0.990610009673,0.0178476620358,19.260583323,23.4086260847,51.7941457449,13.2944868128,18.025,20.4746589321
 01/01  17:00:00,58.9178486337,5.15337631758,0.937799463764,0.0311766078888,19.260583323,27.8781056672,37.3427264583,13.5518398915,18.025,5.76588656676
 01/01  18:00:00,70.2753480858,5.24969754389,1.72359366404,0.0,18.1807569449,37.5792895564,19.4316965765,13.6592795068,0.0,5.77241706964
 01/01  19:00:00,85.4537246945,5.40535542221,2.85264883653,0.0,32.6059821062,37.0465235296,21.8736876535,16.0959895227,0.0,5.77769813079
 01/01  20:00:00,86.5135610133,5.51265288788,3.57393149604,0.0,36.8143715336,33.066984531,28.1613126028,16.599028982,0.0,11.5622836208
 01/01  21:00:00,92.9133537586,5.65542184289,4.47145234367,0.0,36.43363367,38.8072253906,29.8871895149,18.3264290617,0.0,11.5607604532
 01/01  22:00:00,90.6015008302,5.67211134048,4.49962341861,0.0,36.0963922311,36.7877557581,24.3059114421,18.51474489,0.0,5.79116655211
 01/01  23:00:00,67.480299403,5.4411310448,2.9291812537,0.0,30.9507766546,20.6087787026,36.5338722326,19.1218967606,0.0,17.4119754719
 01/01  24:00:00,43.5502662257,5.25434702257,1.62081247327,0.0,17.4250845679,11.7056064465,25.7843030551,20.000186626,0.0,5.78411642909
 01/02  01:00:00,35.765421591,5.20992884056,1.30842000569,0.0,11.6412384099,10.0650221343,25.3477575687,19.5815275127,0.0,5.76623005609
 01/02  02:00:00,33.9535571468,5.17558050001,1.0754212413,0.0162673223444,10.0992000411,10.047477231,25.8501547098,20.0902970358,0.0,5.75985767394
 01/02  03:00:00,31.9144862981,5.14824555999,0.876144800107,0.0633686549615,8.25718729233,10.0299323277,20.7317936308,20.7117936308,0.0,0.02
 01/02  04:00:00,31.8697741746,5.13825841495,0.794819270451,0.109968367342,8.25718729233,10.0299323277,25.9734575597,20.2136965681,0.0,5.75976099162
 01/02  05:00:00,33.4580981746,5.1304555492,0.720966274077,0.173249531349,8.25718729233,11.6354268332,26.4598192643,20.694342099,0.0,5.76547716523
 01/02  06:00:00,41.1543738988,5.14432141113,0.823274540384,0.173415702402,12.1011305571,15.3678112995,26.1080944108,20.3228579015,0.0,5.78523650929
 01/02  07:00:00,72.7912002727,5.4245297197,2.82457634727,0.0,19.7275818095,37.2640762949,36.7794952521,19.3696435662,0.0,17.4098516859
 01/02  08:00:00,93.1017003101,5.64172398279,4.31339996082,0.0,24.3117294858,51.2795993405,33.9898084425,16.5007158586,0.0,17.4890925839
 01/02  09:00:00,71.9515931252,5.32011558499,2.29642686418,0.0,23.6694662846,40.6342015617,40.9247026246,11.4641620161,0.0,29.4605406084
 01/02  10:00:00,66.7091260323,5.28509827603,2.09657065854,0.0,23.6694662846,35.6302164847,58.4455536876,11.0626299025,18.025,29.3579237851
 01/02  11:00:00,48.088898217,5.16102102825,1.17483254155,0.0224583245671,18.7433767983,22.9618409725,52.1884627715,10.725318891,18.025,23.4381438805
 01/02  12:00:00,48.0280921597,5.16057021532,1.1159929701,0.0233490174392,18.7433767983,22.9618409725,50.8955412956,9.48544560834,18.025,23.3850956873
 01/02  13:00:00,48.0621059123,5.14653870092,1.10981549474,0.0341228407072,18.5889407304,23.1597249699,50.4634887011,9.06206804217,18.025,23.376420659
 01/02  14:00:00,48.1300429708,5.14365475124,0.939851434787,0.0284043166539,18.7433767983,23.2517909448,44.0794190362,8.51449450191,18.025,17.5399245343
 01/02  15:00:00,48.0872975606,5.13989839505,0.906195918303,0.0230760173174,18.7433767983,23.2517909448,49.9483883798,8.53782303725,18.025,23.3855653426
 01/02  16:00:00,47.7946745959,5.14195815545,0.905415084501,0.0191230832463,18.7433767983,22.9618409725,51.4068035148,10.000224435,18.025,23.3815790798
 01/02  17:00:00,58.1295589243,5.16080945719,1.13600710073,0.00122822622979,18.7433767983,27.431320555,32.6543669255,8.8633319394,18.025,5.76603498612
 01/02  18:00:00,73.54094377,5.31264015684,2.32438360444,0.0,17.6635504202,40.6971502883,13.6446846315,7.86589067644,0.0,5.77879395501
