Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.08641169415,8.76452420086,0.0,8.2543231801,0.221013402754,0.221013402754,0.221013402754,0.210085920843,0.0459277025038,0.122837147866,0.465847520178
 01/01  02:00:00,0.935629862941,9.14493081105,0.0,8.72776615194,0.233690061995,0.233690061995,0.233690061995,0.122550102381,0.0267911558346,0.102975685881,0.428922856849
 01/01  03:00:00,0.873789119508,9.20553539536,0.0,8.81293004862,0.235970365563,0.235970365563,0.235970365563,0.0875357858627,0.0191365395425,0.0864965903205,0.423949838219
 01/01  04:00:00,0.849172762086,8.89536142598,0.0,8.49555929219,0.227472613624,0.227472613624,0.227472613624,0.0875357858627,0.0191365395425,0.0763456071944,0.417982215863
 01/01  05:00:00,0.844388952961,8.87056786176,0.0,8.39804568744,0.224861640788,0.224861640788,0.224861640788,0.0875357858627,0.0191365395425,0.0899621050554,0.402192881712
 01/01  06:00:00,0.881726164757,8.221973366,0.0,7.43006556617,0.198943515736,0.198943515736,0.198943515736,0.0875357858627,0.0191365395425,0.106595392246,0.44881493137
 01/01  07:00:00,1.16737434767,9.05849930578,0.0,7.66717454074,0.205292220548,0.205292220548,0.205292220548,0.201332295531,0.0440140383346,0.177474275597,0.518561517658
 01/01  08:00:00,1.60414345118,9.49900184459,0.0,7.93586634229,0.212486570473,0.212486570473,0.212486570473,0.411418216375,0.0899417408384,0.281086459277,0.551010464219
 01/01  09:00:00,1.51512215182,8.338638061,0.0,6.81588868582,0.182498639607,0.182498639607,0.182498639607,0.393911071919,0.0861144362557,0.36605048386,0.465847520178
 01/01  10:00:00,1.28737890472,7.82397320501,0.0,6.43652938853,0.172341115201,0.172341115201,0.172341115201,0.201332295531,0.0440140383346,0.45251754537,0.396473910288
 01/01  11:00:00,1.2750753367,7.56573198702,0.0,6.33851121896,0.169716632404,0.169716632404,0.169716632404,0.166318011612,0.0363594291692,0.476182943291,0.405798320219
 01/01  12:00:00,1.28038257387,6.83482061677,0.0,5.75565789382,0.154110459265,0.154110459265,0.154110459265,0.166318011612,0.0363594291692,0.496972028135,0.405922645685
 01/01  13:00:00,1.28471244543,7.72362489795,0.0,6.75373011351,0.180834314468,0.180834314468,0.180834314468,0.166318011612,0.0363594291692,0.481415945109,0.399084745068
 01/01  14:00:00,1.25722398056,7.78078452097,0.0,6.87729282811,0.184142764527,0.184142764527,0.184142764527,0.166318011612,0.0363594291692,0.43681890348,0.412884871767
 01/01  15:00:00,1.26541335608,8.05900363814,0.0,7.21678899376,0.193232934751,0.193232934751,0.193232934751,0.175071528259,0.0382730695827,0.402002089622,0.436133733863
 01/01  16:00:00,1.3479553406,7.89027581594,0.0,7.03894041134,0.188470954935,0.188470954935,0.188470954935,0.218839437491,0.0478413429173,0.411726405573,0.460377199685
 01/01  17:00:00,1.66933015672,7.86885768887,0.0,6.92744961287,0.185485736134,0.185485736134,0.185485736134,0.367650307143,0.0803734675038,0.470575105936,0.54454554
 01/01  18:00:00,2.28022232639,8.13095709441,0.0,7.01674042788,0.18787653989,0.18787653989,0.18787653989,0.682779079743,0.149264997504,0.578065905983,0.661535803274
 01/01  19:00:00,2.70438158912,7.82894036945,0.0,6.54677206065,0.175292914829,0.175292914829,0.175292914829,1.01541520914,0.221983855842,0.522761393651,0.718228215658
 01/01  20:00:00,2.67243500973,7.77827782376,0.0,6.45875147036,0.172936121941,0.172936121941,0.172936121941,1.07669026033,0.235379433759,0.425376441419,0.741352752288
 01/01  21:00:00,2.48279615531,8.14523335922,0.0,6.91003707883,0.185019507309,0.185019507309,0.185019507309,0.927879390674,0.202847309173,0.37951047539,0.766839472767
