Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.454078153787,1.51908228836,0.0,1.24255222052,0.0394547160532,0.0394547160532,0.0394547160532,0.0535946394262,0.00915354295514,0.0389770129118,0.302884242441
 01/01  02:00:00,0.403989012402,1.53332888132,0.0,1.31929349087,0.0418914788558,0.0418914788558,0.0418914788558,0.0312635512159,0.00533956869658,0.0366038093052,0.278876604329
 01/01  03:00:00,0.391048755235,1.60027464634,0.0,1.40799352102,0.044707967729,0.044707967729,0.044707967729,0.0223311048432,0.00381397662586,0.0345384536427,0.275643252395
 01/01  04:00:00,0.386029448551,1.6093942467,0.0,1.41184240914,0.0448301813354,0.0448301813354,0.0448301813354,0.0223311048432,0.00381397662586,0.0332769556732,0.271763230073
 01/01  05:00:00,0.376171917646,1.66091622993,0.0,1.40727068468,0.0446850155327,0.0446850155327,0.0446850155327,0.0223311048432,0.00381397662586,0.0338304829616,0.261497337682
 01/01  06:00:00,0.404916026019,1.77271457078,0.0,1.28812231157,0.0409017015186,0.0409017015186,0.0409017015186,0.0223311048432,0.00381397662586,0.0360452309657,0.291810012066
 01/01  07:00:00,0.48671855294,2.08124339625,0.0,1.15122763729,0.0365548898403,0.0365548898403,0.0365548898403,0.0513615444659,0.00877214789658,0.0428581977933,0.337157772944
 01/01  08:00:00,0.602987968808,2.46972255981,0.0,1.40571176054,0.0446355150705,0.0446355150705,0.0446355150705,0.104956183892,0.0179256908517,0.0522011846794,0.358255394315
 01/01  09:00:00,0.52681301467,2.13970486304,0.0,1.12599702138,0.0357537429991,0.0357537429991,0.0357537429991,0.10048996625,0.017162896,0.0605081669804,0.302884242441
 01/01  10:00:00,0.425884726316,1.98650915146,0.0,1.07682311025,0.0341923255643,0.0341923255643,0.0341923255643,0.0513615444659,0.00877214789658,0.0637657254319,0.257778982958
 01/01  11:00:00,0.414731254198,1.78002814318,0.0,0.989524833188,0.0314203465064,0.0314203465064,0.0314203465064,0.0424290814603,0.00724655345856,0.0597797549385,0.263841517835
 01/01  12:00:00,0.413082709858,1.67743746832,0.0,0.963044645567,0.0305795220595,0.0305795220595,0.0305795220595,0.0424290814603,0.00724655345856,0.0588912012469,0.263922351633
 01/01  13:00:00,0.41390876906,1.74875204751,0.0,1.08912506327,0.0345829490369,0.0345829490369,0.0345829490369,0.0424290814603,0.00724655345856,0.0601596923813,0.259476492723
 01/01  14:00:00,0.421627985663,1.70447898501,0.0,1.10974529908,0.0352377026441,0.0352377026441,0.0352377026441,0.0424290814603,0.00724655345856,0.0582516037592,0.268449044341
 01/01  15:00:00,0.436385408255,1.66678440401,0.0,1.11188263241,0.0353055693128,0.0353055693128,0.0353055693128,0.0446622041421,0.00762795325171,0.0552107169154,0.283564964633
 01/01  16:00:00,0.467730641925,1.70686392444,0.0,1.11536893981,0.0354162699063,0.0354162699063,0.0354162699063,0.0558277621079,0.00953494274829,0.0576101118494,0.299327555313
 01/01  17:00:00,0.57519828255,1.80333737122,0.0,1.07771074735,0.0342205106733,0.0342205106733,0.0342205106733,0.0937906259262,0.0160187013551,0.0671024077954,0.3540520368
 01/01  18:00:00,0.757313959863,1.88002618152,0.0,0.913385274056,0.0290026898186,0.0290026898186,0.0290026898186,0.174182598926,0.0297490181551,0.08424901191,0.430116641053
 01/01  19:00:00,0.91967422145,1.7626096737,0.0,0.759523757378,0.0241171306028,0.0241171306028,0.0241171306028,0.259040789568,0.0442421298068,0.0852833183682,0.466976853104
 01/01  20:00:00,0.91293324388,1.61018212629,0.0,0.70750316481,0.0224653225944,0.0224653225944,0.0224653225944,0.274672565176,0.0469119094205,0.076857507091,0.482011939598
 01/01  21:00:00,0.877082076129,1.55757064544,0.0,0.761736576614,0.0241873941726,0.0241873941726,0.0241873941726,0.236709701358,0.0404281508137,0.0671599615243,0.498582868261
 01/01  22:00:00,0.815024628742,1.49686697083,0.0,0.798619272323,0.0253585290854,0.0253585290854,0.0253585290854,0.19874683754,0.0339443922068,0.0600180686125,0.486942801298
 01/01  23:00:00,0.68707460291,1.48540635774,0.0,0.918911739312,0.0291781714715,0.0291781714715,0.0291781714715,0.149618388034,0.0255536441034,0.0513238084703,0.421386590831
 01/01  24:00:00,0.573672481797,1.46656374547,0.0,1.03928557294,0.0330003974896,0.0330003974896,0.0330003974896,0.10272306121,0.0175442910586,0.0442136254855,0.366177106553
 01/02  01:00:00,0.451722523989,1.4455584708,0.0,1.17870964426,0.0374275250212,0.0374275250212,0.0374275250212,0.0535946394262,0.00915354295514,0.0386485741458,0.302884242441
 01/02  02:00:00,0.403244945692,1.51144766655,0.0,1.30216002294,0.0413474404636,0.0413474404636,0.0413474404636,0.0312635512159,0.00533956869658,0.0364037809873,0.278876604329
 01/02  03:00:00,0.38927940607,1.54456124874,0.0,1.35603309369,0.0430580701454,0.0430580701454,0.0430580701454,0.0223311048432,0.00381397662586,0.0344190020612,0.275643252395
 01/02  04:00:00,0.384402965414,1.5571994716,0.0,1.36376656815,0.0433036308822,0.0433036308822,0.0433036308822,0.0223311048432,0.00381397662586,0.0331770229889,0.271763230073
 01/02  05:00:00,0.375898279843,1.64884152661,0.0,1.40371945413,0.0445722534366,0.0445722534366,0.0445722534366,0.0223311048432,0.00381397662586,0.0336696072551,0.261497337682
 01/02  06:00:00,0.406255726163,1.79820736312,0.0,1.33976549331,0.0425415256146,0.0425415256146,0.0425415256146,0.0223311048432,0.00381397662586,0.0357451070141,0.291810012066
 01/02  07:00:00,0.48800857789,2.08023799334,0.0,1.21076184847,0.0384452775108,0.0384452775108,0.0384452775108,0.0513615444659,0.00877214789658,0.0422578350732,0.337157772944
 01/02  08:00:00,0.602470848887,2.41924542024,0.0,1.42546593702,0.045262768727,0.045262768727,0.045262768727,0.104956183892,0.0179256908517,0.0510568111019,0.358255394315
 01/02  09:00:00,0.526297257129,2.11239857816,0.0,1.1681394831,0.0370918910732,0.0370918910732,0.0370918910732,0.10048996625,0.017162896,0.0586542613656,0.302884242441
 01/02  10:00:00,0.426039965459,1.99811534826,0.0,1.14928093028,0.0364930761226,0.0364930761226,0.0364930761226,0.0513615444659,0.00877214789658,0.0616202140166,0.257778982958
 01/02  11:00:00,0.415101565702,1.80453969522,0.0,1.06471190747,0.0338077589772,0.0338077589772,0.0338077589772,0.0424290814603,0.00724655345856,0.0577626539713,0.263841517835
 01/02  12:00:00,0.411354108747,1.63735166959,0.0,0.964247788785,0.0306177254229,0.0306177254229,0.0306177254229,0.0424290814603,0.00724655345856,0.0571243967723,0.263922351633
 01/02  13:00:00,0.409965754406,1.63847187677,0.0,1.01428114455,0.0322064327726,0.0322064327726,0.0322064327726,0.0424290814603,0.00724655345856,0.0585931939908,0.259476492723
 01/02  14:00:00,0.416486104565,1.55959688866,0.0,0.99516325675,0.0315993831674,0.0315993831674,0.0315993831674,0.0424290814603,0.00724655345856,0.0567480421383,0.268449044341
 01/02  15:00:00,0.431593744038,1.52851619371,0.0,1.00140703818,0.0317976417349,0.0317976417349,0.0317976417349,0.0446622041421,0.00762795325171,0.0539269802759,0.283564964633
 01/02  16:00:00,0.46227098927,1.54460464335,0.0,0.981318690583,0.0311597771549,0.0311597771549,0.0311597771549,0.0558277621079,0.00953494274829,0.0564069519463,0.299327555313
 01/02  17:00:00,0.567906409256,1.57702110189,0.0,0.887536118416,0.0281819025075,0.0281819025075,0.0281819025075,0.0937906259262,0.0160187013551,0.065849142667,0.3540520368
 01/02  18:00:00,0.749535447422,1.63263653944,0.0,0.711242656594,0.0225840625428,0.0225840625428,0.0225840625428,0.174182598926,0.0297490181551,0.0828891267443,0.430116641053
