Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5374735196,2.19289075099,0.0,0.0,1.85583932782,5.577,61.4600242722,56.1472142746,3.0011,2.31170999759
 01/01  02:00:00,9.47573998699,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.49738944548,0.0,0.0,0.0,0.618613109274,5.0,3.59315147183,0.0,3.0011,0.592051471827
 01/01  04:00:00,9.50950146225,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.65924064107,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.6872182953,2.19289075099,0.0,0.0,1.85583932782,5.577,67.12874772,62.0350015387,4.50165,0.592096181336
 01/01  07:00:00,28.1610080627,2.19289075099,0.0,0.0,3.71167865564,18.077,72.4649723491,57.2224236144,13.50495,1.73759873474
 01/01  08:00:00,26.2154392261,2.19289075099,0.0,0.0,3.71167865564,18.077,76.6374684726,54.4646645171,21.0077,1.16510395552
 01/01  09:00:00,20.5815065708,2.19289075099,0.0,0.0,3.71167865564,13.077,70.1026034954,53.3589238917,15.0055,1.73817960379
 01/01  10:00:00,20.5906917506,2.19289075099,0.0,0.0,3.71167865564,13.077,66.2550762942,50.0840652514,15.0055,1.16551104282
 01/01  11:00:00,25.5878009013,2.19289075099,0.0,0.0,3.71167865564,18.077,82.4594617818,44.8330853937,33.0121,4.61427638805
 01/01  12:00:00,26.7473378613,2.19289075099,0.0,0.0,3.71167865564,18.077,84.5784802861,39.4498206095,40.51485,4.61380967659
 01/01  13:00:00,25.8095907556,2.19289075099,0.0,0.0,3.71167865564,18.077,74.8309530376,35.3555270536,36.0132,3.46222598403
 01/01  14:00:00,25.6062868827,2.19289075099,0.0,0.0,3.71167865564,18.077,69.4736805164,33.9257355658,31.51155,4.0363949506
 01/01  15:00:00,20.6056021067,2.19289075099,0.0,0.0,3.71167865564,13.077,58.2741469154,34.9529112313,21.0077,2.31353568406
 01/01  16:00:00,20.5917412295,2.19289075099,0.0,0.0,3.71167865564,13.077,58.8053192302,36.4111040377,19.50715,2.88706519244
 01/01  17:00:00,21.7745610756,2.19289075099,0.0,0.0,3.71167865564,13.077,64.8161624343,39.4210671077,22.50825,2.88684532664
 01/01  18:00:00,28.0429588257,2.19289075099,0.0,0.0,3.71167865564,18.077,69.8809387923,40.9087042932,25.50935,3.46288449909
 01/01  19:00:00,28.0473957648,2.19289075099,0.0,0.0,3.71167865564,18.077,71.416484417,41.2928334966,25.50935,4.61430092045
