Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,45.8633212788,5.76130493557,0.101838572439,9.43375092699,12.925468867,10.100111941,48.4344009046,48.4144009046,0.0,0.02
 01/01  02:00:00,46.6784964266,5.80050075611,0.0603495884439,10.252427141,12.925468867,10.100111941,52.7699823025,47.0095680487,0.0,5.76041425375
 01/01  03:00:00,43.8376929292,5.88137926048,0.0231526775034,11.9869783089,8.34152022915,10.0650221343,54.5777251286,48.8174196857,0.0,5.7603054429
 01/01  04:00:00,44.6125885737,5.91736421696,0.017193927226,12.7318503557,8.34152022915,10.0650221343,49.7402717422,49.7202717422,0.0,0.02
 01/01  05:00:00,47.0961924792,5.95649261114,0.0115397801452,13.5752698246,8.34152022915,11.6705166398,57.3295201834,51.562604988,0.0,5.76691519535
 01/01  06:00:00,52.221171831,6.00007307404,0.00639494077756,14.5034124915,8.80141237637,15.3678112995,58.4133489045,52.6398143501,0.0,5.77353455443
 01/01  07:00:00,71.1946533433,5.94318348675,0.0138621280847,13.549527242,18.5082010057,25.6353820695,65.0341341255,53.4819350898,0.0,11.5521990358
 01/01  08:00:00,78.9261387649,5.79992266614,0.21414213635,10.4207502659,19.4926561212,41.1001056674,63.6668428219,52.0477699068,0.0,11.6190729151
 01/01  09:00:00,97.2696632458,5.73767227395,1.84682272887,5.32010690849,26.3286599382,57.9988325916,82.8124608999,41.3116289186,0.0,41.5008319813
 01/01  10:00:00,83.8868431152,5.73241411238,3.32921243775,5.73403697468,26.2443270014,42.8153538416,84.8898947193,37.3936488632,18.025,29.4712458561
 01/01  11:00:00,61.063200313,5.74479910447,3.02952210091,7.07259432978,21.7447113004,23.4437158914,83.731661842,36.3303077842,18.025,29.3763540578
 01/01  12:00:00,58.3997275805,5.75570595471,3.27196579357,6.55799368136,19.3449162599,23.4437158914,75.5459227906,34.0722430175,18.025,23.4486797731
 01/01  13:00:00,57.5694235389,5.73901679216,3.28862857671,5.58573676237,19.190480192,23.7425572507,72.8946520469,31.4829971367,18.025,23.3866549102
 01/01  14:00:00,56.7454261403,5.70613734916,3.36847875539,4.68864490585,19.260583323,23.698576057,69.0246891277,27.618096108,18.025,23.3815930196
 01/01  15:00:00,55.9889720617,5.66783530086,3.32067705119,4.01829668318,19.260583323,23.698576057,61.9840004794,26.4084555904,18.025,17.550544889
 01/01  16:00:00,55.21252197,5.628570586,3.11741009963,3.77433086403,19.260583323,23.4086260847,69.6351439496,28.2141527807,18.025,23.3959911689
 01/01  17:00:00,62.5009110934,5.58826978471,1.86694549978,4.13415326912,19.260583323,27.8781056672,54.5322347617,30.7405514679,18.025,5.76668329381
 01/01  18:00:00,73.3346912075,5.57769239935,0.67209552184,3.78278956407,18.1807569449,37.5792895564,39.9766295933,34.2034140373,0.0,5.77321555593
 01/01  19:00:00,86.7304173534,5.58694496223,1.04748855277,2.90019515524,32.6059821062,37.0465235296,51.3323086285,39.7930774008,0.0,11.5392312277
 01/01  20:00:00,86.8207508527,5.60112290691,1.36012873654,2.43243437538,36.8143715336,33.066984531,47.4734122532,41.6808678596,0.0,5.79254439361
 01/01  21:00:00,92.1156020445,5.63500818933,1.85317185761,1.84085196069,36.43363367,38.8072253906,54.9976622013,43.4327308241,0.0,11.5649313772
