Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.07203103324,8.58417373291,0.0,8.55620635454,0.0,0.210406346487,0.210406346487,0.210406346487,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465499
 01/01  02:00:00,0.900381688193,9.2015671002,0.0,9.17581651163,0.0,0.226416623497,0.226416623497,0.226416623497,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101459
 01/01  03:00:00,0.840256332412,9.42416013663,0.0,9.3987081056,0.0,0.232327638816,0.232327638816,0.232327638816,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455259
 01/01  04:00:00,0.83326187355,9.50735979086,0.0,9.48226602889,0.0,0.234219141205,0.234219141205,0.234219141205,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.888849871247,9.84454796147,0.0,9.82040211972,0.0,0.242692830846,0.242692830846,0.242692830846,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.15771590921,9.95048548244,0.0,9.92354066367,0.0,0.245169650008,0.245169650008,0.245169650008,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635090115
 01/01  07:00:00,1.79778459799,10.7935396759,0.0,10.7624075875,0.0,0.265991692705,0.265991692705,0.265991692705,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385231849
 01/01  08:00:00,2.22836495065,10.7386700035,0.0,10.7055898271,0.0,0.265029247934,0.265029247934,0.265029247934,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262250932
 01/01  09:00:00,2.13134595841,9.16560058525,0.0,9.13763320687,0.0,0.223233726327,0.223233726327,0.223233726327,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488089
 01/01  10:00:00,1.85834861592,7.97096875652,0.0,7.94716625595,0.0,0.194243391126,0.194243391126,0.194243391126,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681674
 01/01  11:00:00,1.77274719535,8.70131811464,0.0,8.67695581867,0.0,0.215456582715,0.215456582715,0.215456582715,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958450846
 01/01  12:00:00,1.63724466197,6.40657800359,0.0,6.38220824367,0.0,0.156722334229,0.156722334229,0.156722334229,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266167083
 01/01  13:00:00,1.52073447487,5.38293985664,0.0,5.35898061336,0.0,0.132640097099,0.132640097099,0.132640097099,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750169335
 01/01  14:00:00,1.43724324031,4.84400696072,0.0,4.81921922024,0.0,0.12016344255,0.12016344255,0.12016344255,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927997396
 01/01  15:00:00,1.39093363347,4.74103071992,0.0,4.7148472229,0.0,0.117869731939,0.117869731939,0.117869731939,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433623
 01/01  16:00:00,1.47238394213,5.0347888641,0.0,5.00714989903,0.0,0.126222958,0.126222958,0.126222958,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.80033105515,5.72800264959,0.0,5.695310598,0.0,0.143906096144,0.143906096144,0.143906096144,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.43337067064,7.72686353744,0.0,7.68714791953,0.0,0.194628640662,0.194628640662,0.194628640662,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399393
 01/01  19:00:00,2.83985502114,6.71614845859,0.0,6.67302928462,0.0,0.165681014153,0.165681014153,0.165681014153,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127808246
 01/01  20:00:00,2.8272894694,6.84310389264,0.0,6.79859642607,0.0,0.168581684889,0.168581684889,0.168581684889,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909666058
 01/01  21:00:00,2.62749849947,7.16084373,0.0,7.11480615599,0.0,0.176447180431,0.176447180431,0.176447180431,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498746859
 01/01  22:00:00,2.39347313217,7.53212383045,0.0,7.48716106362,0.0,0.185451054292,0.185451054292,0.185451054292,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411856
 01/01  23:00:00,1.96802675179,8.0531394665,0.0,8.01422995396,0.0,0.198345186487,0.198345186487,0.198345186487,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370611653
 01/01  24:00:00,1.53596673113,8.89465229858,0.0,8.86084065619,0.0,0.219309614311,0.219309614311,0.219309614311,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875804841
 01/02  01:00:00,1.07857285506,9.50373194305,0.0,9.47576456468,0.0,0.234086035316,0.234086035316,0.234086035316,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281565
