Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.52826490275,14.2830606342,0.0,14.2485184199,0.0,0.40164707284,0.40164707284,0.40164707284,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.176631986009
 01/01  02:00:00,1.29388556119,15.0793462683,0.0,15.0475419877,0.0,0.424132019114,0.424132019114,0.424132019114,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.105849225178
 01/01  03:00:00,1.21054169174,15.3810537736,0.0,15.3496182383,0.0,0.432611758589,0.432611758589,0.432611758589,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0864629133967
 01/01  04:00:00,1.19758244424,15.3149959533,0.0,15.2840029123,0.0,0.430753241852,0.430753241852,0.430753241852,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0919272547923
 01/01  05:00:00,1.27715035766,16.2263714919,0.0,16.1965492172,0.0,0.45643656334,0.45643656334,0.45643656334,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.149165959422
 01/01  06:00:00,1.59618380936,16.4272310591,0.0,16.3939517973,0.0,0.461987081616,0.461987081616,0.461987081616,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.395905535111
 01/01  07:00:00,2.40527267258,17.7068258458,0.0,17.6683749315,0.0,0.497908422822,0.497908422822,0.497908422822,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.858736843444
 01/01  08:00:00,3.00680289057,17.3613795068,0.0,17.3205225294,0.0,0.48814906213,0.48814906213,0.48814906213,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.990358758223
 01/01  09:00:00,2.82903852259,14.457454037,0.0,14.4229118227,0.0,0.406467710126,0.406467710126,0.406467710126,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.963652662105
 01/01  10:00:00,2.42303266288,13.0536247697,0.0,13.024226552,0.0,0.366998699115,0.366998699115,0.366998699115,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.863584859082
 01/01  11:00:00,2.27019350703,12.555354094,0.0,12.5252644789,0.0,0.352915669272,0.352915669272,0.352915669272,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.741754413876
 01/01  12:00:00,2.11395712456,10.1863015406,0.0,10.1562027069,0.0,0.286144425855,0.286144425855,0.286144425855,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.63136656312
 01/01  13:00:00,1.98062732594,9.26771715183,0.0,9.23812534291,0.0,0.260261070913,0.260261070913,0.260261070913,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.546825679478
 01/01  14:00:00,1.87929111001,8.58414425263,0.0,8.55352917555,0.0,0.240968526752,0.240968526752,0.240968526752,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.494546468459
 01/01  15:00:00,1.83662449397,8.72781255713,0.0,8.69547359584,0.0,0.244967182077,0.244967182077,0.244967182077,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.445056468815
 01/01  16:00:00,1.9366933303,8.56702860717,0.0,8.53289201264,0.0,0.240396847303,0.240396847303,0.240396847303,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.450647768329
 01/01  17:00:00,2.40030178434,9.83630157341,0.0,9.79592396497,0.0,0.276013070599,0.276013070599,0.276013070599,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.514220037893
 01/01  18:00:00,3.25915809903,11.3836082283,0.0,11.3345558871,0.0,0.319432430487,0.319432430487,0.319432430487,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.640905047063
 01/01  19:00:00,3.89814444864,11.2898172637,0.0,11.2365612263,0.0,0.316722782862,0.316722782862,0.316722782862,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.766146857755
 01/01  20:00:00,3.938502638,12.2770167344,0.0,12.2220460314,0.0,0.344540772146,0.344540772146,0.344540772146,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.792644424084
 01/01  21:00:00,3.65141321639,12.7978689225,0.0,12.7410083999,0.0,0.359190028505,0.359190028505,0.359190028505,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.724484087043
 01/01  22:00:00,3.31959070574,13.2745021163,0.0,13.2189690768,0.0,0.37267225992,0.37267225992,0.37267225992,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.633423204066
 01/01  23:00:00,2.74480028503,14.0235969587,0.0,13.9755402298,0.0,0.393997888313,0.393997888313,0.393997888313,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.494510832067
 01/01  24:00:00,2.17848887917,15.5350198041,0.0,15.4932594009,0.0,0.436778177846,0.436778177846,0.436778177846,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.339941562658
 01/02  01:00:00,1.55805870007,16.050895006,0.0,16.0163527917,0.0,0.451523813755,0.451523813755,0.451523813755,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.164218339316
 01/02  02:00:00,1.30801733164,15.975613324,0.0,15.9438090433,0.0,0.449456948047,0.449456948047,0.449456948047,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.0992609280977
 01/02  03:00:00,1.21862016843,15.9442087745,0.0,15.9127732392,0.0,0.44855237718,0.44855237718,0.44855237718,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0816472163143
 01/02  04:00:00,1.22167692524,16.4069303597,0.0,16.3759373187,0.0,0.461575778644,0.461575778644,0.461575778644,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0867921705196
 01/02  05:00:00,1.27233326992,16.5366990687,0.0,16.5068767939,0.0,0.465248408935,0.465248408935,0.465248408935,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.138653374277
 01/02  06:00:00,1.56022212434,16.3855174621,0.0,16.3522382003,0.0,0.46089037768,0.46089037768,0.46089037768,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.365820028686
 01/02  07:00:00,2.28272885294,16.2402764677,0.0,16.2018255534,0.0,0.456641872531,0.456641872531,0.456641872531,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.789856004941
 01/02  08:00:00,2.89360922453,17.1946630142,0.0,17.1538060369,0.0,0.483461951956,0.483461951956,0.483461951956,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.90654045779
 01/02  09:00:00,2.69088101911,14.0118204141,0.0,13.9772781998,0.0,0.393932796266,0.393932796266,0.393932796266,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.875873589984
 01/02  10:00:00,2.26117063159,12.0432377684,0.0,12.0138395508,0.0,0.338546850278,0.338546850278,0.338546850278,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.782710911253
 01/02  11:00:00,2.09608075624,10.9488510944,0.0,10.9187614794,0.0,0.307653498229,0.307653498229,0.307653498229,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.672306101379
 01/02  12:00:00,1.9492462698,8.5586459035,0.0,8.52854706981,0.0,0.240276729499,0.240276729499,0.240276729499,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.573760290599
 01/02  13:00:00,1.81512543951,7.14531643632,0.0,7.11572462739,0.0,0.200448613767,0.200448613767,0.200448613767,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.496915173768
 01/02  14:00:00,1.72045454446,6.28625699688,0.0,6.2556419198,0.0,0.176206819219,0.176206819219,0.176206819219,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.451324314866
 01/02  15:00:00,1.66277015974,5.56521562568,0.0,5.5328766644,0.0,0.155843958942,0.155843958942,0.155843958942,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.405971858439
 01/02  16:00:00,1.76629107101,5.43299658461,0.0,5.39885999008,0.0,0.152065271098,0.152065271098,0.152065271098,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.411812553433
 01/02  17:00:00,2.22514707802,6.80312114203,0.0,6.76274353358,0.0,0.190499227886,0.190499227886,0.190499227886,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.466483413258
 01/02  18:00:00,3.06611767292,8.03684420821,0.0,7.987791867,0.0,0.225049706393,0.225049706393,0.225049706393,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.58349126349
 01/02  19:00:00,3.6968193963,8.2166026397,0.0,8.16334660227,0.0,0.230030139179,0.230030139179,0.230030139179,1.19717217884,0.270608895381,0.482732692333,0.771962340148,0.691543150418
 01/02  20:00:00,3.71860307095,8.86060139054,0.0,8.80563068754,0.0,0.248149677166,0.248149677166,0.248149677166,1.2694153222,0.286938743016,0.385424228339,0.79681693514,0.70908816509
 01/02  21:00:00,3.44475868997,9.73752497084,0.0,9.68066444827,0.0,0.272822642017,0.272822642017,0.272822642017,1.09396765174,0.247280533344,0.338845876819,0.824210440373,0.644861545684
 01/02  22:00:00,3.13104266171,10.4305956502,0.0,10.3750626106,0.0,0.292397911435,0.292397911435,0.292397911435,0.918519983775,0.207622352631,0.318073398495,0.804968173282,0.566690842088
