Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.592743620943,2.71301086879,0.0,2.6768156935,0.0,0.0464493022091,0.0464493022091,0.0464493022091,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610952824
 01/01  02:00:00,0.493865341289,2.97014503636,0.0,2.93564660873,0.0,0.0509406519243,0.0509406519243,0.0509406519243,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638493
 01/01  03:00:00,0.467978005127,3.08198517353,0.0,3.0551200892,0.0,0.0530138091513,0.0530138091513,0.0530138091513,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442492869
 01/01  04:00:00,0.468108300905,3.14426487327,0.0,3.11767401078,0.0,0.0540992727546,0.0540992727546,0.0540992727546,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418948942
 01/01  05:00:00,0.49936408221,3.31779389313,0.0,3.28452375084,0.0,0.0569945240109,0.0569945240109,0.0569945240109,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.10000925315
 01/01  06:00:00,0.705463473711,3.36159506507,0.0,3.31879865711,0.0,0.0575892775024,0.0575892775024,0.0575892775024,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116991101
 01/01  07:00:00,1.12985883194,4.11748298681,0.0,4.04188322827,0.0,0.0701365641348,0.0701365641348,0.0701365641348,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801256325
 01/01  08:00:00,1.31992032578,4.16888397338,0.0,4.05481084328,0.0,0.0703608898879,0.0703608898879,0.0703608898879,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988370028
 01/01  09:00:00,1.18913335766,3.05133044153,0.0,2.93378677815,0.0,0.0509083793129,0.0509083793129,0.0509083793129,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682405
 01/01  10:00:00,0.989725426129,2.44474206108,0.0,2.32593078103,0.0,0.040360590394,0.040360590394,0.040360590394,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191958798
 01/01  11:00:00,0.889843620716,2.04271990848,0.0,1.93531950991,0.0,0.0335825290496,0.0335825290496,0.0335825290496,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438499758
 01/01  12:00:00,0.812440913165,1.71346379361,0.0,1.59126894949,0.0,0.0276124099654,0.0276124099654,0.0276124099654,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388811312577
 01/01  13:00:00,0.751637573398,1.51490251514,0.0,1.37823315095,0.0,0.0239157175814,0.0239157175814,0.0239157175814,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009556361
 01/01  14:00:00,0.723063612769,1.36188035115,0.0,1.24677040663,0.0,0.02163451729,0.02163451729,0.02163451729,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394967637
 01/01  15:00:00,0.710231848197,1.36247262403,0.0,1.25072888494,0.0,0.0217032065747,0.0217032065747,0.0217032065747,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705563
 01/01  16:00:00,0.753163882032,1.55766861939,0.0,1.41818276834,0.0,0.0246089411963,0.0246089411963,0.0246089411963,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986593
 01/01  17:00:00,0.91823540797,1.99007015652,0.0,1.7727520543,0.0,0.0307615859067,0.0307615859067,0.0307615859067,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362352
 01/01  18:00:00,1.23348458171,3.64067345033,0.0,3.29667838192,0.0,0.0572054366015,0.0572054366015,0.0572054366015,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832215224
 01/01  19:00:00,1.47383989324,2.4626661178,0.0,2.18557507685,0.0,0.0379250754888,0.0379250754888,0.0379250754888,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309277545
 01/01  20:00:00,1.48210616437,2.21347998033,0.0,2.05367802571,0.0,0.0356363389112,0.0356363389112,0.0356363389112,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506522490452
 01/01  21:00:00,1.39714074204,2.20497282282,0.0,2.09577073529,0.0,0.0363667504195,0.0363667504195,0.0363667504195,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462780990073
 01/01  22:00:00,1.27252429122,2.28740700031,0.0,2.20122113601,0.0,0.0381965728996,0.0381965728996,0.0381965728996,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404753623084
 01/01  23:00:00,1.05222463672,2.46923807758,0.0,2.40692959805,0.0,0.0417661180662,0.0417661180662,0.0417661180662,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320819219602
 01/01  24:00:00,0.836603177061,2.82115883375,0.0,2.77310650712,0.0,0.0481201834405,0.0481201834405,0.0481201834405,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650746454
 01/02  01:00:00,0.591279320235,3.07664199043,0.0,3.04044681514,0.0,0.0527591919422,0.0527591919422,0.0527591919422,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.10816520115
 01/02  02:00:00,0.493293551922,3.15816713146,0.0,3.12366870383,0.0,0.0542032953475,0.0542032953475,0.0542032953475,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646781593775
 01/02  03:00:00,0.467676389056,3.2371192361,0.0,3.21025415176,0.0,0.0557057647359,0.0557057647359,0.0557057647359,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701292126
 01/02  04:00:00,0.468395876826,3.34815199696,0.0,3.32156113447,0.0,0.0576372132441,0.0576372132441,0.0576372132441,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.05849146301
 01/02  05:00:00,0.494751224704,3.43671204668,0.0,3.40344190439,0.0,0.059058044957,0.059058044957,0.059058044957,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0934937504053
 01/02  06:00:00,0.685961755176,3.40547818588,0.0,3.36268177793,0.0,0.0583507570265,0.0583507570265,0.0583507570265,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252153916994
 01/02  07:00:00,1.06953257899,3.3390792028,0.0,3.26347944426,0.0,0.0566293537983,0.0566293537983,0.0566293537983,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.546582576428
 01/02  08:00:00,1.24969158929,3.27809225591,0.0,3.1640191258,0.0,0.0549034739026,0.0549034739026,0.0549034739026,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.613361423106
 01/02  09:00:00,1.12965446526,2.78891668865,0.0,2.67137302527,0.0,0.0463548585977,0.0463548585977,0.0463548585977,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.572035216338
